;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;8259;8259;8259;0;0
0-1-0-0-0-0-0-0-0-0;8143;8143;8143;0;0
0-0-1-0-0-0-0-0-0-0;8188;8188;8188;0;0
0-0-0-0-0-0-1-0-0-0;8098;8098;8098;0;0
0-0-0-0-0-0-0-0-0-1;8137;8137;8137;0;0
1-2-0-0-0-0-0-0-0-0;8488;8488;8488;7906;7933
1-0-2-0-0-0-0-0-0-0;8642;8642;8642;7800;7825
1-0-0-0-0-0-2-0-0-0;8603;8603;8603;7756;7783
1-0-0-0-0-0-0-0-0-2;8667;8667;8667;7715;7737
0-1-2-0-0-0-0-0-0-0;8564;8564;8564;7766;7779
0-1-0-0-0-0-2-0-0-0;8541;8541;8541;7706;7733
0-1-0-0-0-0-0-0-0-2;8609;8609;8609;7675;7705
0-0-1-0-0-0-2-0-0-0;8439;8439;8439;7855;7849
0-0-1-0-0-0-0-0-0-2;8544;8544;8544;7776;7799
0-0-0-0-0-0-1-0-0-2;8509;8509;8509;7724;7737
1-2-3-0-0-0-0-0-0-0;8728;8254;8268;8217;7650
1-2-0-0-0-0-3-0-0-0;8713;8223;8240;8180;7615
1-2-0-0-0-0-0-0-0-3;8758;8256;8264;8205;7561
1-0-2-0-0-0-3-0-0-0;8742;8219;8235;8183;7622
1-0-2-0-0-0-0-0-0-3;8815;8254;8271;8202;7560
1-0-0-0-0-0-2-0-0-3;8788;8198;8215;8163;7529
0-1-2-0-0-0-3-0-0-0;8690;8176;8200;8161;7596
0-1-2-0-0-0-0-0-0-3;8756;8223;8232;8181;7528
0-1-0-0-0-0-2-0-0-3;8741;8177;8190;8146;7495
0-0-1-0-0-0-2-0-0-3;8657;8170;8174;8149;7612
1-2-3-0-0-0-4-0-0-0;8810;8432;8463;8443;8020
1-2-3-0-0-0-0-0-0-4;8868;8457;8483;8455;8044
1-2-0-0-0-0-3-0-0-4;8857;8442;8468;8443;8004
1-0-2-0-0-0-3-0-0-4;8874;8412;8444;8415;8032
0-1-2-0-0-0-3-0-0-4;8820;8369;8392;8381;8013
1-2-3-0-0-0-4-0-0-5;8584;8241;8257;8222;7871
