network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.45923;0.45923;0.45923;0.00000;nan;0.45923;0.45923
(b);0.43304;0.43304;0.43304;0.00000;nan;0.43304;0.43304
(c);0.42795;0.42795;0.42795;0.00000;nan;0.42795;0.42795
(d);0.41850;0.41850;0.41850;0.00000;nan;0.41850;0.41850
(e);0.41014;0.41014;0.41014;0.00000;nan;0.41014;0.41014
(a)>(b);0.48069;0.48069;0.48069;0.42105;0.38889;0.42105;0.48069
(a)>(c);0.48548;0.48548;0.48548;0.39462;0.38914;0.39462;0.48548
(a)>(d);0.47234;0.47234;0.47234;0.39648;0.38462;0.39648;0.47234
(a)>(e);0.49356;0.49356;0.49356;0.37443;0.36150;0.37443;0.49356
(b)>(c);0.49167;0.49167;0.49167;0.37156;0.37500;0.37156;0.49167
(b)>(d);0.46552;0.46552;0.46552;0.39286;0.36111;0.39286;0.46552
(b)>(e);0.47391;0.47391;0.47391;0.37500;0.34928;0.37500;0.47391
(c)>(d);0.47059;0.47059;0.47059;0.37838;0.36239;0.37838;0.47059
(c)>(e);0.48739;0.48739;0.48739;0.34597;0.33493;0.34597;0.48739
(d)>(e);0.43860;0.43860;0.43860;0.37209;0.36150;0.37209;0.43860
(a)>(b)>(c);0.51822;0.42152;0.43668;0.44017;0.37900;0.36697;0.50622
(a)>(b)>(d);0.50622;0.42667;0.44105;0.45339;0.37156;0.38393;0.49367
(a)>(b)>(e);0.51837;0.43243;0.45923;0.46809;0.35648;0.36239;0.49573
(a)>(c)>(d);0.50410;0.42544;0.43478;0.43590;0.36530;0.36073;0.49587
(a)>(c)>(e);0.52439;0.41704;0.42982;0.43043;0.34272;0.33491;0.51452
(a)>(d)>(e);0.50209;0.40541;0.42291;0.43478;0.36111;0.36406;0.48718
(b)>(c)>(d);0.50000;0.40541;0.41778;0.43290;0.34272;0.35321;0.48954
(b)>(c)>(e);0.51626;0.42081;0.43111;0.43421;0.32536;0.32701;0.50826
(b)>(d)>(e);0.49372;0.41892;0.44105;0.45022;0.33962;0.35648;0.47414
(c)>(d)>(e);0.49793;0.41667;0.42358;0.42857;0.33014;0.32857;0.49167
(a)>(b)>(c)>(d);0.52419;0.43913;0.45106;0.45798;0.41778;0.34259;0.51440
(a)>(b)>(c)>(e);0.53600;0.44248;0.46383;0.47280;0.41704;0.31905;0.51867
(a)>(b)>(d)>(e);0.52049;0.43750;0.45887;0.46352;0.42291;0.34722;0.50211
(a)>(c)>(d)>(e);0.52439;0.42920;0.44589;0.45957;0.41228;0.32381;0.51037
(b)>(c)>(d)>(e);0.51230;0.43498;0.45175;0.46087;0.38914;0.31905;0.49791
(a)>(b)>(c)>(d)>(e);0.46835;0.43612;0.43913;0.44348;0.39462;0.31100;0.52263
