network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.02210;0.02210;0.02210;0.00000;nan;0.02210;0.02210
(b);0.01105;0.01105;0.01105;0.00000;nan;0.01105;0.01105
(c);0.02198;0.02198;0.02198;0.00000;nan;0.02198;0.02198
(d);0.02198;0.02198;0.02198;0.00000;nan;0.02198;0.02198
(e);0.01105;0.01105;0.01105;0.00000;nan;0.01105;0.01105
(a)>(b);0.02747;0.02747;0.02747;0.00556;0.00000;0.00556;0.02747
(a)>(c);0.02762;0.02762;0.02762;0.01639;0.00546;0.01639;0.02762
(a)>(d);0.02762;0.02762;0.02762;0.02198;0.01639;0.02198;0.02762
(a)>(e);0.02186;0.02186;0.02186;0.01657;0.01093;0.01657;0.02186
(b)>(c);0.02235;0.02235;0.02235;0.01093;0.00000;0.01093;0.02235
(b)>(d);0.02222;0.02222;0.02222;0.01105;0.00000;0.01105;0.02222
(b)>(e);0.02235;0.02235;0.02235;0.00000;0.00000;0.00000;0.02235
(c)>(d);0.03333;0.03333;0.03333;0.01093;0.00546;0.01093;0.03333
(c)>(e);0.01667;0.01667;0.01667;0.01639;0.00549;0.01639;0.01667
(d)>(e);0.02210;0.02210;0.02210;0.01093;0.01093;0.01093;0.02210
(a)>(b)>(c);0.03371;0.00546;0.00556;0.02198;0.00000;0.01093;0.03315
(a)>(b)>(d);0.03315;0.01105;0.01648;0.02762;0.00546;0.01099;0.02778
(a)>(b)>(e);0.02793;0.01093;0.01111;0.02210;0.00000;0.00552;0.02747
(a)>(c)>(d);0.03911;0.01648;0.02210;0.02747;0.01093;0.01093;0.03333
(a)>(c)>(e);0.03333;0.01093;0.01657;0.02198;0.01099;0.01639;0.02747
(a)>(d)>(e);0.02778;0.01639;0.01657;0.02210;0.01099;0.01648;0.02747
(b)>(c)>(d);0.02809;0.00552;0.00556;0.02747;0.00000;0.00546;0.02793
(b)>(c)>(e);0.02809;0.00552;0.00552;0.01648;0.00000;0.01093;0.02809
(b)>(d)>(e);0.02247;0.01111;0.01117;0.02222;0.00000;0.00000;0.02235
(c)>(d)>(e);0.02793;0.01105;0.01105;0.02198;0.00546;0.01093;0.02793
(a)>(b)>(c)>(d);0.03933;0.01111;0.01667;0.03297;0.01105;0.00546;0.03371
(a)>(b)>(c)>(e);0.03371;0.01093;0.01111;0.02210;0.00552;0.01093;0.03315
(a)>(b)>(d)>(e);0.03352;0.01105;0.01667;0.02222;0.01657;0.00549;0.02778
(a)>(c)>(d)>(e);0.03352;0.01639;0.01657;0.02747;0.01105;0.01093;0.03315
(b)>(c)>(d)>(e);0.02825;0.01111;0.01117;0.02747;0.00552;0.00546;0.02809
(a)>(b)>(c)>(d)>(e);0.01667;0.01111;0.01657;0.02210;0.00552;0.00546;0.03352
