network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.05273;0.05273;0.05273;nan;nan;0.05273;0.05273
(b);0.05266;0.05266;0.05266;nan;nan;0.05266;0.05266
(c);0.05560;0.05560;0.05560;nan;nan;0.05560;0.05560
(d);0.05512;0.05512;0.05512;nan;nan;0.05512;0.05512
(e);0.05579;0.05579;0.05579;nan;nan;0.05579;0.05579
(a)>(b);0.04558;0.04558;0.04558;0.06151;0.04251;0.06151;0.04558
(a)>(c);0.04749;0.04749;0.04749;0.06248;0.04436;0.06248;0.04749
(a)>(d);0.04615;0.04615;0.04615;0.06287;0.04362;0.06287;0.04615
(a)>(e);0.04622;0.04622;0.04622;0.06379;0.04336;0.06379;0.04622
(b)>(c);0.04668;0.04668;0.04668;0.06363;0.04289;0.06363;0.04668
(b)>(d);0.04554;0.04554;0.04554;0.06391;0.04229;0.06391;0.04554
(b)>(e);0.04558;0.04558;0.04558;0.06465;0.04233;0.06465;0.04558
(c)>(d);0.04764;0.04764;0.04764;0.06488;0.04428;0.06488;0.04764
(c)>(e);0.04776;0.04776;0.04776;0.06545;0.04413;0.06545;0.04776
(d)>(e);0.04824;0.04824;0.04824;0.06383;0.04603;0.06383;0.04824
(a)>(b)>(c);0.05376;0.04090;0.05182;0.06921;0.05090;0.06738;0.04349
(a)>(b)>(d);0.05316;0.04016;0.05152;0.06976;0.05067;0.06800;0.04239
(a)>(b)>(e);0.05337;0.04014;0.05172;0.07029;0.05072;0.06849;0.04243
(a)>(c)>(d);0.05445;0.04151;0.05254;0.07005;0.05164;0.06841;0.04398
(a)>(c)>(e);0.05458;0.04127;0.05257;0.07069;0.05183;0.06910;0.04402
(a)>(d)>(e);0.05421;0.04159;0.05285;0.06989;0.05202;0.06833;0.04352
(b)>(c)>(d);0.05420;0.04045;0.05218;0.07156;0.05113;0.06936;0.04313
(b)>(c)>(e);0.05441;0.04044;0.05231;0.07209;0.05114;0.06990;0.04321
(b)>(d)>(e);0.05443;0.04057;0.05289;0.07102;0.05199;0.06928;0.04276
(c)>(d)>(e);0.05539;0.04214;0.05361;0.07148;0.05264;0.06963;0.04455
(a)>(b)>(c)>(d);0.05041;0.03907;0.04859;0.06031;0.04782;0.07175;0.04135
(a)>(b)>(c)>(e);0.05042;0.03904;0.04871;0.06076;0.04771;0.07222;0.04128
(a)>(b)>(d)>(e);0.04987;0.03892;0.04847;0.06048;0.04763;0.07195;0.04075
(a)>(c)>(d)>(e);0.05105;0.03993;0.04924;0.06114;0.04844;0.07221;0.04219
(b)>(c)>(d)>(e);0.05061;0.03917;0.04892;0.06186;0.04795;0.07291;0.04135
(a)>(b)>(c)>(d)>(e);0.05301;0.04408;0.05253;0.06300;0.05138;0.07474;0.03999
