;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.05416;0.05416;0.05416;nan;nan
0-1-0-0-0-0-0-0-0-0;0.05401;0.05401;0.05401;nan;nan
0-0-1-0-0-0-0-0-0-0;0.05103;0.05103;0.05103;nan;nan
0-0-0-0-0-0-1-0-0-0;0.05340;0.05340;0.05340;nan;nan
0-0-0-0-0-0-0-0-0-1;0.05099;0.05099;0.05099;nan;nan
1-2-0-0-0-0-0-0-0-0;0.04728;0.04728;0.04728;0.06221;0.04508
1-0-2-0-0-0-0-0-0-0;0.04511;0.04511;0.04511;0.06192;0.04213
1-0-0-0-0-0-2-0-0-0;0.04551;0.04551;0.04551;0.06399;0.04211
1-0-0-0-0-0-0-0-0-2;0.04471;0.04471;0.04471;0.06264;0.04072
0-1-2-0-0-0-0-0-0-0;0.04584;0.04584;0.04584;0.06090;0.04305
0-1-0-0-0-0-2-0-0-0;0.04621;0.04621;0.04621;0.06301;0.04298
0-1-0-0-0-0-0-0-0-2;0.04521;0.04521;0.04521;0.06182;0.04153
0-0-1-0-0-0-2-0-0-0;0.04470;0.04470;0.04470;0.06095;0.04224
0-0-1-0-0-0-0-0-0-2;0.04432;0.04432;0.04432;0.05933;0.04104
0-0-0-0-0-0-1-0-0-2;0.04417;0.04417;0.04417;0.06202;0.04093
1-2-3-0-0-0-0-0-0-0;0.05297;0.04088;0.05164;0.06779;0.05077
1-2-0-0-0-0-3-0-0-0;0.05349;0.04085;0.05207;0.06985;0.05100
1-2-0-0-0-0-0-0-0-3;0.05304;0.04002;0.05148;0.06912;0.05025
1-0-2-0-0-0-3-0-0-0;0.05235;0.03938;0.05070;0.06908;0.04990
1-0-2-0-0-0-0-0-0-3;0.05175;0.03893;0.05012;0.06839;0.04887
1-0-0-0-0-0-2-0-0-3;0.05252;0.03828;0.05048;0.07025;0.04965
0-1-2-0-0-0-3-0-0-0;0.05255;0.04024;0.05091;0.06796;0.05017
0-1-2-0-0-0-0-0-0-3;0.05183;0.03962;0.05010;0.06726;0.04911
0-1-0-0-0-0-2-0-0-3;0.05247;0.03911;0.05052;0.06931;0.04973
0-0-1-0-0-0-2-0-0-3;0.05139;0.03881;0.04975;0.06752;0.04883
1-2-3-0-0-0-4-0-0-0;0.04910;0.03865;0.04780;0.05931;0.04696
1-2-3-0-0-0-0-0-0-4;0.04891;0.03822;0.04753;0.05937;0.04658
1-2-0-0-0-0-3-0-0-4;0.04922;0.03800;0.04775;0.06011;0.04658
1-0-2-0-0-0-3-0-0-4;0.04840;0.03715;0.04682;0.05888;0.04586
0-1-2-0-0-0-3-0-0-4;0.04871;0.03774;0.04699;0.05850;0.04629
1-2-3-0-0-0-4-0-0-5;0.05166;0.04257;0.05098;0.06091;0.04985
