network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.10019;0.10019;0.10019;nan;nan;0.10019;0.10019
(b);0.09282;0.09282;0.09282;nan;nan;0.09282;0.09282
(c);0.10463;0.10463;0.10463;nan;nan;0.10463;0.10463
(d);0.09978;0.09978;0.09978;nan;nan;0.09978;0.09978
(e);0.09956;0.09956;0.09956;nan;nan;0.09956;0.09956
(a)>(b);0.08526;0.08526;0.08526;0.11218;0.08090;0.11218;0.08526
(a)>(c);0.09426;0.09426;0.09426;0.11406;0.09073;0.11406;0.09426
(a)>(d);0.08781;0.08781;0.08781;0.11053;0.08115;0.11053;0.08781
(a)>(e);0.09158;0.09158;0.09158;0.11170;0.08471;0.11170;0.09158
(b)>(c);0.08818;0.08818;0.08818;0.11032;0.08667;0.11032;0.08818
(b)>(d);0.08446;0.08446;0.08446;0.11049;0.07803;0.11049;0.08446
(b)>(e);0.08797;0.08797;0.08797;0.11045;0.07953;0.11045;0.08797
(c)>(d);0.09260;0.09260;0.09260;0.11576;0.08895;0.11576;0.09260
(c)>(e);0.09589;0.09589;0.09589;0.11433;0.08897;0.11433;0.09589
(d)>(e);0.09045;0.09045;0.09045;0.10854;0.08708;0.10854;0.09045
(a)>(b)>(c);0.09857;0.07996;0.09510;0.11300;0.10058;0.11868;0.08708
(a)>(b)>(d);0.09331;0.07368;0.09059;0.11903;0.09433;0.11942;0.07955
(a)>(b)>(e);0.09454;0.07749;0.09048;0.11808;0.09392;0.11978;0.08417
(a)>(c)>(d);0.09767;0.08104;0.09492;0.11911;0.09755;0.12024;0.08652
(a)>(c)>(e);0.10009;0.08276;0.09624;0.11771;0.10222;0.12131;0.09013
(a)>(d)>(e);0.09669;0.07906;0.09308;0.11487;0.09622;0.11638;0.08581
(b)>(c)>(d);0.09516;0.07557;0.09031;0.11246;0.09958;0.11883;0.08443
(b)>(c)>(e);0.09653;0.07828;0.09098;0.11540;0.09716;0.11966;0.08711
(b)>(d)>(e);0.09189;0.07484;0.08925;0.11832;0.09641;0.11642;0.07990
(c)>(d)>(e);0.09606;0.08231;0.09307;0.11801;0.09813;0.11893;0.08745
(a)>(b)>(c)>(d);0.09183;0.07457;0.08757;0.10736;0.08693;0.12353;0.08150
(a)>(b)>(c)>(e);0.09639;0.07639;0.09073;0.10796;0.09197;0.12229;0.08532
(a)>(b)>(d)>(e);0.09276;0.07188;0.08810;0.11023;0.09089;0.12284;0.07972
(a)>(c)>(d)>(e);0.09744;0.07902;0.09309;0.11144;0.09395;0.12461;0.08656
(b)>(c)>(d)>(e);0.09412;0.07460;0.08916;0.11020;0.09305;0.12365;0.08250
(a)>(b)>(c)>(d)>(e);0.09255;0.08083;0.09469;0.10878;0.09298;0.12414;0.08192
