;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.05052;0.05052;0.05052;nan;nan
0-1-0-0-0-0-0-0-0-0;0.04946;0.04946;0.04946;nan;nan
0-0-1-0-0-0-0-0-0-0;0.05004;0.05004;0.05004;nan;nan
0-0-0-0-0-0-1-0-0-0;0.05170;0.05170;0.05170;nan;nan
0-0-0-0-0-0-0-0-0-1;0.04929;0.04929;0.04929;nan;nan
1-2-0-0-0-0-0-0-0-0;0.05832;0.05832;0.05832;0.04045;0.05740
1-0-2-0-0-0-0-0-0-0;0.06013;0.06013;0.06013;0.03858;0.05878
1-0-0-0-0-0-2-0-0-0;0.06197;0.06197;0.06197;0.03842;0.06067
1-0-0-0-0-0-0-0-0-2;0.06046;0.06046;0.06046;0.03696;0.05892
0-1-2-0-0-0-0-0-0-0;0.05847;0.05847;0.05847;0.03946;0.05746
0-1-0-0-0-0-2-0-0-0;0.06040;0.06040;0.06040;0.03917;0.05924
0-1-0-0-0-0-0-0-0-2;0.05946;0.05946;0.05946;0.03755;0.05820
0-0-1-0-0-0-2-0-0-0;0.06023;0.06023;0.06023;0.04038;0.05928
0-0-1-0-0-0-0-0-0-2;0.05888;0.05888;0.05888;0.03873;0.05764
0-0-0-0-0-0-1-0-0-2;0.06085;0.06085;0.06085;0.03838;0.05971
1-2-3-0-0-0-0-0-0-0;0.05125;0.06360;0.05019;0.03656;0.04738
1-2-0-0-0-0-3-0-0-0;0.05154;0.06524;0.05032;0.03632;0.04736
1-2-0-0-0-0-0-0-0-3;0.05103;0.06428;0.04956;0.03525;0.04650
1-0-2-0-0-0-3-0-0-0;0.05171;0.06603;0.05040;0.03595;0.04735
1-0-2-0-0-0-0-0-0-3;0.05119;0.06486;0.04941;0.03500;0.04624
1-0-0-0-0-0-2-0-0-3;0.05143;0.06664;0.04968;0.03452;0.04649
0-1-2-0-0-0-3-0-0-0;0.05136;0.06450;0.05038;0.03669;0.04733
0-1-2-0-0-0-0-0-0-3;0.05095;0.06369;0.04950;0.03551;0.04640
0-1-0-0-0-0-2-0-0-3;0.05137;0.06535;0.04968;0.03504;0.04658
0-0-1-0-0-0-2-0-0-3;0.05110;0.06506;0.04969;0.03576;0.04709
1-2-3-0-0-0-4-0-0-0;0.05539;0.06872;0.05483;0.04334;0.05315
1-2-3-0-0-0-0-0-0-4;0.05509;0.06789;0.05404;0.04235;0.05248
1-2-0-0-0-0-3-0-0-4;0.05538;0.06970;0.05450;0.04244;0.05259
1-0-2-0-0-0-3-0-0-4;0.05561;0.06989;0.05453;0.04246;0.05289
0-1-2-0-0-0-3-0-0-4;0.05493;0.06869;0.05407;0.04261;0.05245
1-2-3-0-0-0-4-0-0-5;0.05010;0.05936;0.04859;0.03965;0.04776
