;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.09150;0.09150;0.09150;nan;nan
0-1-0-0-0-0-0-0-0-0;0.07984;0.07984;0.07984;nan;nan
0-0-1-0-0-0-0-0-0-0;0.08366;0.08366;0.08366;nan;nan
0-0-0-0-0-0-1-0-0-0;0.08566;0.08566;0.08566;nan;nan
0-0-0-0-0-0-0-0-0-1;0.09401;0.09401;0.09401;nan;nan
1-2-0-0-0-0-0-0-0-0;0.09693;0.09693;0.09693;0.07000;0.09729
1-0-2-0-0-0-0-0-0-0;0.09751;0.09751;0.09751;0.07251;0.10330
1-0-0-0-0-0-2-0-0-0;0.10330;0.10330;0.10330;0.06979;0.11086
1-0-0-0-0-0-0-0-0-2;0.10706;0.10706;0.10706;0.06668;0.10225
0-1-2-0-0-0-0-0-0-0;0.09007;0.09007;0.09007;0.07281;0.09461
0-1-0-0-0-0-2-0-0-0;0.09448;0.09448;0.09448;0.06522;0.09239
0-1-0-0-0-0-0-0-0-2;0.10021;0.10021;0.10021;0.06670;0.09562
0-0-1-0-0-0-2-0-0-0;0.09234;0.09234;0.09234;0.07331;0.09489
0-0-1-0-0-0-0-0-0-2;0.10278;0.10278;0.10278;0.06882;0.09892
0-0-0-0-0-0-1-0-0-2;0.10220;0.10220;0.10220;0.07046;0.09821
1-2-3-0-0-0-0-0-0-0;0.09054;0.10393;0.08922;0.06640;0.08371
1-2-0-0-0-0-3-0-0-0;0.09226;0.10956;0.09272;0.06652;0.08012
1-2-0-0-0-0-0-0-0-3;0.10189;0.10860;0.09704;0.06490;0.08058
1-0-2-0-0-0-3-0-0-0;0.09149;0.11108;0.09396;0.06897;0.08581
1-0-2-0-0-0-0-0-0-3;0.09806;0.11010;0.09283;0.06747;0.07767
1-0-0-0-0-0-2-0-0-3;0.09735;0.11403;0.09135;0.06843;0.08025
0-1-2-0-0-0-3-0-0-0;0.08900;0.10132;0.08855;0.06701;0.08064
0-1-2-0-0-0-0-0-0-3;0.09420;0.10372;0.08872;0.06709;0.07916
0-1-0-0-0-0-2-0-0-3;0.09164;0.10453;0.08505;0.06725;0.07284
0-0-1-0-0-0-2-0-0-3;0.09641;0.10700;0.09002;0.06613;0.08417
1-2-3-0-0-0-4-0-0-0;0.09388;0.11309;0.09601;0.07299;0.08914
1-2-3-0-0-0-0-0-0-4;0.09821;0.11066;0.09175;0.06843;0.08863
1-2-0-0-0-0-3-0-0-4;0.10124;0.11733;0.10072;0.07515;0.08700
1-0-2-0-0-0-3-0-0-4;0.10274;0.11508;0.09983;0.07573;0.09347
0-1-2-0-0-0-3-0-0-4;0.09660;0.10827;0.08982;0.07004;0.08868
1-2-3-0-0-0-4-0-0-5;0.09339;0.10823;0.08729;0.07132;0.08427
