;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.11110;0.11110;0.11110;0.41193;nan
0-1-0-0-0-0-0-0-0-0;0.09604;0.09604;0.09604;0.40287;nan
0-0-1-0-0-0-0-0-0-0;0.08289;0.08289;0.08289;0.40028;nan
0-0-0-0-0-0-1-0-0-0;0.08785;0.08785;0.08785;0.40041;nan
0-0-0-0-0-0-0-0-0-1;0.08661;0.08661;0.08661;0.40219;nan
1-2-0-0-0-0-0-0-0-0;0.13229;0.13229;0.13229;0.15594;0.07167
1-0-2-0-0-0-0-0-0-0;0.13278;0.13278;0.13278;0.16341;0.05705
1-0-0-0-0-0-2-0-0-0;0.13674;0.13674;0.13674;0.16722;0.05771
1-0-0-0-0-0-0-0-0-2;0.13915;0.13915;0.13915;0.17411;0.05348
0-1-2-0-0-0-0-0-0-0;0.12275;0.12275;0.12275;0.15249;0.05390
0-1-0-0-0-0-2-0-0-0;0.12361;0.12361;0.12361;0.15421;0.05523
0-1-0-0-0-0-0-0-0-2;0.12786;0.12786;0.12786;0.16289;0.04939
0-0-1-0-0-0-2-0-0-0;0.11249;0.11249;0.11249;0.13459;0.05771
0-0-1-0-0-0-0-0-0-2;0.11388;0.11388;0.11388;0.14441;0.05182
0-0-0-0-0-0-1-0-0-2;0.11837;0.11837;0.11837;0.14988;0.05107
1-2-3-0-0-0-0-0-0-0;0.14981;0.08491;0.08390;0.08755;0.04763
1-2-0-0-0-0-3-0-0-0;0.15188;0.08577;0.08468;0.08893;0.04830
1-2-0-0-0-0-0-0-0-3;0.15541;0.08491;0.08421;0.08863;0.04340
1-0-2-0-0-0-3-0-0-0;0.15061;0.07731;0.07620;0.07944;0.04569
1-0-2-0-0-0-0-0-0-3;0.15275;0.07652;0.07533;0.08015;0.04119
1-0-0-0-0-0-2-0-0-3;0.15759;0.07794;0.07684;0.08023;0.04161
0-1-2-0-0-0-3-0-0-0;0.14038;0.07597;0.07430;0.07700;0.04349
0-1-2-0-0-0-0-0-0-3;0.14387;0.07390;0.07319;0.07692;0.03922
0-1-0-0-0-0-2-0-0-3;0.14651;0.07494;0.07398;0.07660;0.03991
0-0-1-0-0-0-2-0-0-3;0.13431;0.07470;0.07470;0.07597;0.04255
1-2-3-0-0-0-4-0-0-0;0.16406;0.09808;0.09597;0.09755;0.06140
1-2-3-0-0-0-0-0-0-4;0.16709;0.09816;0.09657;0.09808;0.06025
1-2-0-0-0-0-3-0-0-4;0.17023;0.09733;0.09566;0.09725;0.06222
1-0-2-0-0-0-3-0-0-4;0.16722;0.09101;0.08901;0.09086;0.05968
0-1-2-0-0-0-3-0-0-4;0.15844;0.09032;0.08878;0.08963;0.05795
1-2-3-0-0-0-4-0-0-5;0.10579;0.07287;0.07175;0.07406;0.05190
