;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;1347;1347;1347;7549;0
0-1-0-0-0-0-0-0-0-0;1145;1145;1145;7271;0
0-0-1-0-0-0-0-0-0-0;974;974;974;7193;0
0-0-0-0-0-0-1-0-0-0;1038;1038;1038;7197;0
0-0-0-0-0-0-0-0-0-1;1022;1022;1022;7251;0
1-2-0-0-0-0-0-0-0-0;1643;1643;1643;1991;832
1-0-2-0-0-0-0-0-0-0;1650;1650;1650;2105;652
1-0-0-0-0-0-2-0-0-0;1707;1707;1707;2164;660
1-0-0-0-0-0-0-0-0-2;1742;1742;1742;2272;609
0-1-2-0-0-0-0-0-0-0;1508;1508;1508;1939;614
0-1-0-0-0-0-2-0-0-0;1520;1520;1520;1965;630
0-1-0-0-0-0-0-0-0-2;1580;1580;1580;2097;560
0-0-1-0-0-0-2-0-0-0;1366;1366;1366;1676;660
0-0-1-0-0-0-0-0-0-2;1385;1385;1385;1819;589
0-0-0-0-0-0-1-0-0-2;1447;1447;1447;1900;580
1-2-3-0-0-0-0-0-0-0;1899;1000;987;1034;539
1-2-0-0-0-0-3-0-0-0;1930;1011;997;1052;547
1-2-0-0-0-0-0-0-0-3;1983;1000;991;1048;489
1-0-2-0-0-0-3-0-0-0;1911;903;889;930;516
1-0-2-0-0-0-0-0-0-3;1943;893;878;939;463
1-0-0-0-0-0-2-0-0-3;2016;911;897;940;468
0-1-2-0-0-0-3-0-0-0;1760;886;865;899;490
0-1-2-0-0-0-0-0-0-3;1811;860;851;898;440
0-1-0-0-0-0-2-0-0-3;1850;873;861;894;448
0-0-1-0-0-0-2-0-0-3;1672;870;870;886;479
1-2-3-0-0-0-4-0-0-0;2115;1172;1144;1165;705
1-2-3-0-0-0-0-0-0-4;2162;1173;1152;1172;691
1-2-0-0-0-0-3-0-0-4;2211;1162;1140;1161;715
1-0-2-0-0-0-3-0-0-4;2164;1079;1053;1077;684
0-1-2-0-0-0-3-0-0-4;2029;1070;1050;1061;663
1-2-3-0-0-0-4-0-0-5;1275;847;833;862;590
