;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;59;59;59;0;0
0-1-0-0-0-0-0-0-0-0;52;52;52;0;0
0-0-1-0-0-0-0-0-0-0;45;45;45;0;0
0-0-0-0-0-0-1-0-0-0;50;50;50;0;0
0-0-0-0-0-0-0-0-0-1;56;56;56;0;0
1-2-0-0-0-0-0-0-0-0;75;75;75;39;27
1-0-2-0-0-0-0-0-0-0;78;78;78;30;24
1-0-0-0-0-0-2-0-0-0;77;77;77;29;16
1-0-0-0-0-0-0-0-0-2;91;91;91;27;17
0-1-2-0-0-0-0-0-0-0;77;77;77;21;23
0-1-0-0-0-0-2-0-0-0;70;70;70;31;20
0-1-0-0-0-0-0-0-0-2;84;84;84;27;19
0-0-1-0-0-0-2-0-0-0;66;66;66;30;21
0-0-1-0-0-0-0-0-0-2;79;79;79;26;21
0-0-0-0-0-0-1-0-0-2;81;81;81;23;17
1-2-3-0-0-0-0-0-0-0;94;39;43;52;20
1-2-0-0-0-0-3-0-0-0;92;33;36;55;21
1-2-0-0-0-0-0-0-0-3;109;35;40;54;17
1-0-2-0-0-0-3-0-0-0;92;32;32;49;14
1-0-2-0-0-0-0-0-0-3;112;33;38;48;18
1-0-0-0-0-0-2-0-0-3;109;27;32;49;15
0-1-2-0-0-0-3-0-0-0;89;29;30;43;17
0-1-2-0-0-0-0-0-0-3;107;27;30;37;19
0-1-0-0-0-0-2-0-0-3;104;28;32;42;17
0-0-1-0-0-0-2-0-0-3;103;22;29;37;22
1-2-3-0-0-0-4-0-0-0;103;42;42;56;25
1-2-3-0-0-0-0-0-0-4;124;43;47;56;26
1-2-0-0-0-0-3-0-0-4;117;37;38;60;27
1-0-2-0-0-0-3-0-0-4;122;36;38;53;25
0-1-2-0-0-0-3-0-0-4;119;30;35;45;24
1-2-3-0-0-0-4-0-0-5;50;28;32;39;25
