;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;3;3;3;7549;0
0-1-0-0-0-0-0-0-0-0;1;1;1;7271;0
0-0-1-0-0-0-0-0-0-0;4;4;4;7193;0
0-0-0-0-0-0-1-0-0-0;7;7;7;7197;0
0-0-0-0-0-0-0-0-0-1;9;9;9;7251;0
1-2-0-0-0-0-0-0-0-0;3;3;3;1169;0
1-0-2-0-0-0-0-0-0-0;6;6;6;1454;0
1-0-0-0-0-0-2-0-0-0;9;9;9;1511;1
1-0-0-0-0-0-0-0-0-2;10;10;10;1665;1
0-1-2-0-0-0-0-0-0-0;4;4;4;1341;0
0-1-0-0-0-0-2-0-0-0;6;6;6;1341;2
0-1-0-0-0-0-0-0-0-2;9;9;9;1541;0
0-0-1-0-0-0-2-0-0-0;8;8;8;1056;0
0-0-1-0-0-0-0-0-0-2;12;12;12;1231;1
0-0-0-0-0-0-1-0-0-2;13;13;13;1328;2
1-2-3-0-0-0-0-0-0-0;5;0;0;2;0
1-2-0-0-0-0-3-0-0-0;8;3;3;6;0
1-2-0-0-0-0-0-0-0-3;9;1;1;3;0
1-0-2-0-0-0-3-0-0-0;11;1;1;3;1
1-0-2-0-0-0-0-0-0-3;13;2;2;2;0
1-0-0-0-0-0-2-0-0-3;15;3;3;4;1
0-1-2-0-0-0-3-0-0-0;9;1;2;4;1
0-1-2-0-0-0-0-0-0-3;12;1;1;2;0
0-1-0-0-0-0-2-0-0-3;14;0;2;3;3
0-0-1-0-0-0-2-0-0-3;16;2;2;4;0
1-2-3-0-0-0-4-0-0-0;11;1;2;5;1
1-2-3-0-0-0-0-0-0-4;12;2;2;4;0
1-2-0-0-0-0-3-0-0-4;15;1;3;5;2
1-0-2-0-0-0-3-0-0-4;17;3;3;5;0
0-1-2-0-0-0-3-0-0-4;16;1;2;5;1
1-2-3-0-0-0-4-0-0-5;3;0;1;4;0
