network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.57089;0.57089;0.57089;0.00000;nan;0.57089;0.56355
(b);0.56674;0.56674;0.56674;0.00000;nan;0.56674;0.55986
(c);0.55667;0.55667;0.55667;0.00000;nan;0.55667;0.54590
(d);0.55514;0.55514;0.55514;0.00000;nan;0.55514;0.54633
(e);0.55651;0.55651;0.55651;0.00000;nan;0.55651;0.54935
(a)>(b);0.56586;0.56586;0.56586;0.50745;0.57675;0.57113;0.55598
(a)>(c);0.56061;0.56061;0.56061;0.50064;0.57160;0.56703;0.54809
(a)>(d);0.55733;0.55733;0.55733;0.51241;0.57325;0.56947;0.54681
(a)>(e);0.55977;0.55977;0.55977;0.50473;0.57234;0.56718;0.54996
(b)>(c);0.56000;0.56000;0.56000;0.48950;0.57110;0.56471;0.54708
(b)>(d);0.55742;0.55742;0.55742;0.49704;0.57016;0.56533;0.54650
(b)>(e);0.55937;0.55937;0.55937;0.49940;0.57060;0.56439;0.54996
(c)>(d);0.55228;0.55228;0.55228;0.49261;0.56621;0.55969;0.53920
(c)>(e);0.55410;0.55410;0.55410;0.48736;0.56640;0.55852;0.54152
(d)>(e);0.55119;0.55119;0.55119;0.50587;0.56548;0.56136;0.54023
(a)>(b)>(c);0.55606;0.58152;0.58468;0.57094;0.57132;0.55846;0.53913
(a)>(b)>(d);0.55424;0.57726;0.58085;0.56861;0.57418;0.56244;0.53901
(a)>(b)>(e);0.55522;0.58030;0.58465;0.57063;0.57256;0.55892;0.54043
(a)>(c)>(d);0.55027;0.57618;0.58117;0.56766;0.57060;0.55735;0.53216
(a)>(c)>(e);0.55179;0.57623;0.58062;0.56674;0.56929;0.55526;0.53458
(a)>(d)>(e);0.55126;0.57178;0.57512;0.56274;0.57274;0.56140;0.53631
(b)>(c)>(d);0.54884;0.57742;0.58153;0.56737;0.56799;0.55362;0.53092
(b)>(c)>(e);0.54996;0.57950;0.58227;0.56721;0.56648;0.55234;0.53380
(b)>(d)>(e);0.54959;0.57462;0.57812;0.56475;0.56870;0.55704;0.53494
(c)>(d)>(e);0.54508;0.57134;0.57290;0.56075;0.56462;0.55226;0.52964
(a)>(b)>(c)>(d);0.54510;0.57499;0.58111;0.57611;0.58546;0.54983;0.52484
(a)>(b)>(c)>(e);0.54624;0.57710;0.58401;0.57811;0.58610;0.54727;0.52573
(a)>(b)>(d)>(e);0.54624;0.57334;0.57944;0.57389;0.58272;0.55340;0.52829
(a)>(c)>(d)>(e);0.54346;0.57049;0.57708;0.57144;0.58165;0.54909;0.52310
(b)>(c)>(d)>(e);0.54092;0.57264;0.57781;0.57281;0.58223;0.54511;0.52170
(a)>(b)>(c)>(d)>(e);0.57766;0.58308;0.58483;0.57893;0.58331;0.54163;0.51560
