network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.21054;0.21054;0.21054;1.00000;nan;0.21054;0.21054
(b);0.21778;0.21778;0.21778;1.00000;nan;0.21778;0.21778
(c);0.21722;0.21722;0.21722;1.00000;nan;0.21722;0.21722
(d);0.22066;0.22066;0.22066;1.00000;nan;0.22066;0.22066
(e);0.22307;0.22307;0.22307;1.00000;nan;0.22307;0.22307
(a)>(b);0.18196;0.18196;0.18196;0.24756;0.24506;0.24756;0.18196
(a)>(c);0.17992;0.17992;0.17992;0.24821;0.24645;0.24821;0.17992
(a)>(d);0.19068;0.19068;0.19068;0.24033;0.23958;0.24033;0.19068
(a)>(e);0.18688;0.18688;0.18688;0.24784;0.24627;0.24784;0.18688
(b)>(c);0.17667;0.17667;0.17667;0.25768;0.25443;0.25768;0.17667
(b)>(d);0.18595;0.18595;0.18595;0.25267;0.25193;0.25267;0.18595
(b)>(e);0.18669;0.18669;0.18669;0.25397;0.25202;0.25397;0.18669
(c)>(d);0.18391;0.18391;0.18391;0.25350;0.25100;0.25350;0.18391
(c)>(e);0.18215;0.18215;0.18215;0.25907;0.25573;0.25907;0.18215
(d)>(e);0.19625;0.19625;0.19625;0.24719;0.24636;0.24719;0.19625
(a)>(b)>(c);0.16359;0.20896;0.20831;0.21444;0.26779;0.27299;0.20896
(a)>(b)>(d);0.17268;0.21277;0.21165;0.21583;0.26083;0.26473;0.21277
(a)>(b)>(e);0.17101;0.21203;0.21054;0.21611;0.26492;0.26993;0.21203
(a)>(c)>(d);0.16934;0.21295;0.21036;0.21602;0.26130;0.26640;0.21295
(a)>(c)>(e);0.16647;0.21388;0.21165;0.21778;0.26649;0.27234;0.21388
(a)>(d)>(e);0.17686;0.21583;0.21407;0.21954;0.25721;0.26158;0.21583
(b)>(c)>(d);0.16554;0.21360;0.21221;0.21731;0.27206;0.27735;0.21360
(b)>(c)>(e);0.16480;0.21342;0.21323;0.21936;0.27438;0.27958;0.21342
(b)>(d)>(e);0.17417;0.21564;0.21370;0.21954;0.26640;0.27039;0.21564
(c)>(d)>(e);0.17166;0.21685;0.21676;0.22158;0.26844;0.27308;0.21685
(a)>(b)>(c)>(d);0.15849;0.19625;0.19402;0.19662;0.22632;0.28449;0.19625
(a)>(b)>(c)>(e);0.15672;0.19477;0.19198;0.19542;0.22799;0.28858;0.19477
(a)>(b)>(d)>(e);0.16526;0.19829;0.19597;0.19913;0.22845;0.27911;0.19829
(a)>(c)>(d)>(e);0.16043;0.20052;0.19718;0.20080;0.22780;0.28190;0.20052
(b)>(c)>(d)>(e);0.15941;0.19672;0.19514;0.19736;0.23281;0.28951;0.19672
(a)>(b)>(c)>(d)>(e);0.18354;0.21249;0.21156;0.21379;0.24005;0.29563;0.21444
