;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.95767;0.95767;0.95767;0.02405;nan
0-1-0-0-0-0-0-0-0-0;0.95722;0.95722;0.95722;0.02494;nan
0-0-1-0-0-0-0-0-0-0;0.95263;0.95263;0.95263;0.02521;nan
0-0-0-0-0-0-1-0-0-0;0.93782;0.93782;0.93782;0.02519;nan
0-0-0-0-0-0-0-0-0-1;0.91795;0.91795;0.91795;0.02501;nan
1-2-0-0-0-0-0-0-0-0;0.94709;0.94709;0.94709;0.13432;0.98387
1-0-2-0-0-0-0-0-0-0;0.92708;0.92708;0.92708;0.11280;1.00000
1-0-0-0-0-0-2-0-0-0;0.91795;0.91795;0.91795;0.10843;0.98930
1-0-0-0-0-0-0-0-0-2;0.89286;0.89286;0.89286;0.09995;0.98930
0-1-2-0-0-0-0-0-0-0;0.94211;0.94211;0.94211;0.11919;0.98925
0-1-0-0-0-0-2-0-0-0;0.92708;0.92708;0.92708;0.11853;0.96809
0-1-0-0-0-0-0-0-0-2;0.89744;0.89744;0.89744;0.10539;0.98387
0-0-1-0-0-0-2-0-0-0;0.92268;0.92268;0.92268;0.14654;0.98925
0-0-1-0-0-0-0-0-0-2;0.89899;0.89899;0.89899;0.12773;0.97861
0-0-0-0-0-0-1-0-0-2;0.89447;0.89447;0.89447;0.11889;0.96809
1-2-3-0-0-0-0-0-0-0;0.92670;0.97312;0.96774;0.95213;0.99462
1-2-0-0-0-0-3-0-0-0;0.91237;0.95767;0.95238;0.93229;0.98925
1-2-0-0-0-0-0-0-0-3;0.89231;0.96791;0.96257;0.94709;0.99462
1-0-2-0-0-0-3-0-0-0;0.89340;0.98396;0.97861;0.95767;0.98930
1-0-2-0-0-0-0-0-0-3;0.87437;0.97872;0.97340;0.96277;0.99462
1-0-0-0-0-0-2-0-0-3;0.87065;0.96296;0.95767;0.94211;0.98930
0-1-2-0-0-0-3-0-0-0;0.89744;0.97861;0.96277;0.95263;0.97326
0-1-2-0-0-0-0-0-0-3;0.87374;0.98396;0.96791;0.96277;0.97849
0-1-0-0-0-0-2-0-0-3;0.87500;0.97312;0.95745;0.94709;0.96825
0-0-1-0-0-0-2-0-0-3;0.87624;0.96277;0.96277;0.94211;0.98925
1-2-3-0-0-0-4-0-0-0;0.88325;0.97326;0.95213;0.93717;0.96791
1-2-3-0-0-0-0-0-0-4;0.86869;0.96277;0.94681;0.93684;0.97849
1-2-0-0-0-0-3-0-0-4;0.86567;0.96257;0.94180;0.92670;0.96809
1-0-2-0-0-0-3-0-0-4;0.85714;0.95767;0.95238;0.93194;0.98925
0-1-2-0-0-0-3-0-0-4;0.86139;0.96257;0.95213;0.93194;0.97861
1-2-3-0-0-0-4-0-0-5;0.93651;0.98387;0.97326;0.95263;0.98387
