network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.62856;0.62856;0.62856;0.00000;nan;0.62856;0.62856
(b);0.62381;0.62381;0.62381;0.00000;nan;0.62381;0.62381
(c);0.61501;0.61501;0.61501;0.00000;nan;0.61501;0.61501
(d);0.61355;0.61355;0.61355;0.00000;nan;0.61355;0.61355
(e);0.61562;0.61562;0.61562;0.00000;nan;0.61562;0.61562
(a)>(b);0.62253;0.62253;0.62253;0.55869;0.63203;0.62880;0.62253
(a)>(c);0.61789;0.61789;0.61789;0.55229;0.62755;0.62552;0.61789
(a)>(d);0.61409;0.61409;0.61409;0.56589;0.62946;0.62890;0.61409
(a)>(e);0.61684;0.61684;0.61684;0.55759;0.62837;0.62658;0.61684
(b)>(c);0.61716;0.61716;0.61716;0.53994;0.62673;0.62289;0.61716
(b)>(d);0.61398;0.61398;0.61398;0.54877;0.62571;0.62416;0.61398
(b)>(e);0.61647;0.61647;0.61647;0.55154;0.62616;0.62332;0.61647
(c)>(d);0.60950;0.60950;0.60950;0.54489;0.62250;0.61909;0.60950
(c)>(e);0.61163;0.61163;0.61163;0.53917;0.62261;0.61789;0.61163
(d)>(e);0.60866;0.60866;0.60866;0.55989;0.62237;0.62132;0.60866
(a)>(b)>(c);0.61278;0.63913;0.64278;0.63231;0.62600;0.61636;0.63913
(a)>(b)>(d);0.61051;0.63415;0.63823;0.63008;0.62940;0.62143;0.63415
(a)>(b)>(e);0.61179;0.63769;0.64275;0.63284;0.62736;0.61762;0.63769
(a)>(c)>(d);0.60717;0.63371;0.63962;0.62991;0.62621;0.61657;0.63371
(a)>(c)>(e);0.60901;0.63383;0.63927;0.62907;0.62482;0.61438;0.63383
(a)>(d)>(e);0.60874;0.62902;0.63348;0.62450;0.62928;0.62138;0.62902
(b)>(c)>(d);0.60541;0.63499;0.63980;0.62973;0.62294;0.61223;0.63499
(b)>(c)>(e);0.60685;0.63747;0.64083;0.62979;0.62127;0.61094;0.63747
(b)>(d)>(e);0.60686;0.63211;0.63693;0.62690;0.62451;0.61632;0.63211
(c)>(d)>(e);0.60243;0.62899;0.63145;0.62324;0.62072;0.61192;0.62899
(a)>(b)>(c)>(d);0.60056;0.63264;0.63895;0.63551;0.64254;0.60859;0.63264
(a)>(b)>(c)>(e);0.60188;0.63510;0.64236;0.63800;0.64332;0.60571;0.63510
(a)>(b)>(d)>(e);0.60209;0.63081;0.63737;0.63330;0.63983;0.61277;0.63081
(a)>(c)>(d)>(e);0.59973;0.62813;0.63538;0.63119;0.63918;0.60860;0.62813
(b)>(c)>(d)>(e);0.59659;0.63051;0.63601;0.63304;0.63950;0.60402;0.63051
(a)>(b)>(c)>(d)>(e);0.63626;0.64036;0.64309;0.63907;0.64038;0.60056;0.63417
