network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.63207;0.63207;0.63207;0.00000;nan;0.63207;0.63207
(b);0.62752;0.62752;0.62752;0.00000;nan;0.62752;0.62752
(c);0.62015;0.62015;0.62015;0.00000;nan;0.62015;0.62015
(d);0.61758;0.61758;0.61758;0.00000;nan;0.61758;0.61758
(e);0.61997;0.61997;0.61997;0.00000;nan;0.61997;0.61997
(a)>(b);0.61734;0.61734;0.61734;0.57246;0.62524;0.64429;0.61734
(a)>(c);0.61394;0.61394;0.61394;0.56605;0.62197;0.64110;0.61394
(a)>(d);0.60852;0.60852;0.60852;0.57983;0.62269;0.64440;0.60852
(a)>(e);0.61116;0.61116;0.61116;0.57226;0.62139;0.64307;0.61116
(b)>(c);0.61231;0.61231;0.61231;0.55488;0.61973;0.64014;0.61231
(b)>(d);0.60797;0.60797;0.60797;0.56379;0.61789;0.64125;0.60797
(b)>(e);0.61011;0.61011;0.61011;0.56724;0.61839;0.64106;0.61011
(c)>(d);0.60484;0.60484;0.60484;0.55986;0.61603;0.63610;0.60484
(c)>(e);0.60687;0.60687;0.60687;0.55458;0.61608;0.63556;0.60687
(d)>(e);0.60422;0.60422;0.60422;0.57351;0.61715;0.63642;0.60422
(a)>(b)>(c);0.61694;0.62838;0.64627;0.65499;0.63031;0.63816;0.62838
(a)>(b)>(d);0.61423;0.62269;0.64161;0.65305;0.63322;0.64360;0.62269
(a)>(b)>(e);0.61556;0.62590;0.64607;0.65616;0.63148;0.64028;0.62590
(a)>(c)>(d);0.61134;0.62323;0.64328;0.65253;0.63039;0.63847;0.62323
(a)>(c)>(e);0.61319;0.62289;0.64274;0.65226;0.62929;0.63697;0.62289
(a)>(d)>(e);0.61212;0.61838;0.63687;0.64650;0.63323;0.64291;0.61838
(b)>(c)>(d);0.60951;0.62329;0.64334;0.65428;0.62707;0.63549;0.62329
(b)>(c)>(e);0.61102;0.62554;0.64435;0.65471;0.62549;0.63473;0.62554
(b)>(d)>(e);0.61055;0.62036;0.64040;0.65038;0.62880;0.63913;0.62036
(c)>(d)>(e);0.60666;0.61857;0.63541;0.64642;0.62519;0.63434;0.61857
(a)>(b)>(c)>(d);0.60050;0.61886;0.63795;0.64826;0.64177;0.63448;0.61886
(a)>(b)>(c)>(e);0.60180;0.62107;0.64128;0.65110;0.64235;0.63207;0.62107
(a)>(b)>(d)>(e);0.60114;0.61679;0.63590;0.64594;0.63849;0.63877;0.61679
(a)>(c)>(d)>(e);0.59938;0.61490;0.63422;0.64398;0.63824;0.63434;0.61490
(b)>(c)>(d)>(e);0.59610;0.61638;0.63472;0.64656;0.63840;0.63066;0.61638
(a)>(b)>(c)>(d)>(e);0.64006;0.63404;0.64740;0.65524;0.64428;0.62918;0.61792
