;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.89181;0.89181;0.89181;nan;nan
0-1-0-0-0-0-0-0-0-0;0.89231;0.89231;0.89231;nan;nan
0-0-1-0-0-0-0-0-0-0;0.89843;0.89843;0.89843;nan;nan
0-0-0-0-0-0-1-0-0-0;0.89356;0.89356;0.89356;nan;nan
0-0-0-0-0-0-0-0-0-1;0.89833;0.89833;0.89833;nan;nan
1-2-0-0-0-0-0-0-0-0;0.90503;0.90503;0.90503;0.87708;0.90981
1-0-2-0-0-0-0-0-0-0;0.90913;0.90913;0.90913;0.87818;0.91592
1-0-0-0-0-0-2-0-0-0;0.90819;0.90819;0.90819;0.87394;0.91578
1-0-0-0-0-0-0-0-0-2;0.90994;0.90994;0.90994;0.87668;0.91850
0-1-2-0-0-0-0-0-0-0;0.90779;0.90779;0.90779;0.88010;0.91429
0-1-0-0-0-0-2-0-0-0;0.90700;0.90700;0.90700;0.87581;0.91410
0-1-0-0-0-0-0-0-0-2;0.90899;0.90899;0.90899;0.87823;0.91676
0-0-1-0-0-0-2-0-0-0;0.91028;0.91028;0.91028;0.87961;0.91588
0-0-1-0-0-0-0-0-0-2;0.91103;0.91103;0.91103;0.88312;0.91798
0-0-0-0-0-0-1-0-0-2;0.91113;0.91113;0.91113;0.87777;0.91807
1-2-3-0-0-0-0-0-0-0;0.89405;0.91788;0.89722;0.86650;0.89942
1-2-0-0-0-0-3-0-0-0;0.89302;0.91784;0.89622;0.86231;0.89885
1-2-0-0-0-0-0-0-0-3;0.89422;0.91936;0.89746;0.86400;0.90037
1-0-2-0-0-0-3-0-0-0;0.89525;0.92095;0.89910;0.86397;0.90118
1-0-2-0-0-0-0-0-0-3;0.89650;0.92177;0.90026;0.86569;0.90302
1-0-0-0-0-0-2-0-0-3;0.89512;0.92299;0.89960;0.86174;0.90171
0-1-2-0-0-0-3-0-0-0;0.89498;0.91929;0.89873;0.86588;0.90082
0-1-2-0-0-0-0-0-0-3;0.89633;0.92040;0.90024;0.86769;0.90259
0-1-0-0-0-0-2-0-0-3;0.89504;0.92146;0.89941;0.86375;0.90127
0-0-1-0-0-0-2-0-0-3;0.89731;0.92228;0.90116;0.86718;0.90313
1-2-3-0-0-0-4-0-0-0;0.90137;0.92206;0.90430;0.88203;0.90632
1-2-3-0-0-0-0-0-0-4;0.90174;0.92288;0.90475;0.88228;0.90697
1-2-0-0-0-0-3-0-0-4;0.90123;0.92332;0.90437;0.88069;0.90688
1-0-2-0-0-0-3-0-0-4;0.90277;0.92514;0.90630;0.88307;0.90851
0-1-2-0-0-0-3-0-0-4;0.90224;0.92405;0.90612;0.88381;0.90786
1-2-3-0-0-0-4-0-0-5;0.89698;0.91477;0.89842;0.87953;0.90116
