;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.60751;0.60751;0.60751;0.00000;nan
0-1-0-0-0-0-0-0-0-0;0.60947;0.60947;0.60947;0.00000;nan
0-0-1-0-0-0-0-0-0-0;0.62602;0.62602;0.62602;0.00000;nan
0-0-0-0-0-0-1-0-0-0;0.61245;0.61245;0.61245;0.00000;nan
0-0-0-0-0-0-0-0-0-1;0.61946;0.61946;0.61946;0.00000;nan
1-2-0-0-0-0-0-0-0-0;0.61851;0.61851;0.61851;0.54309;0.62172
1-0-2-0-0-0-0-0-0-0;0.63223;0.63223;0.63223;0.53173;0.62709
1-0-0-0-0-0-2-0-0-0;0.62586;0.62586;0.62586;0.52378;0.62319
1-0-0-0-0-0-0-0-0-2;0.62996;0.62996;0.62996;0.51832;0.62408
0-1-2-0-0-0-0-0-0-0;0.63283;0.63283;0.63283;0.53750;0.62438
0-1-0-0-0-0-2-0-0-0;0.62997;0.62997;0.62997;0.52966;0.61968
0-1-0-0-0-0-0-0-0-2;0.63329;0.63329;0.63329;0.52357;0.62301
0-0-1-0-0-0-2-0-0-0;0.63262;0.63262;0.63262;0.55483;0.62855
0-0-1-0-0-0-0-0-0-2;0.64001;0.64001;0.64001;0.54518;0.62983
0-0-0-0-0-0-1-0-0-2;0.63423;0.63423;0.63423;0.53482;0.62538
1-2-3-0-0-0-0-0-0-0;0.61560;0.64330;0.63059;0.60283;0.60804
1-2-0-0-0-0-3-0-0-0;0.61233;0.64026;0.62721;0.59630;0.60444
1-2-0-0-0-0-0-0-0-3;0.61376;0.64450;0.63023;0.59950;0.60422
1-0-2-0-0-0-3-0-0-0;0.61683;0.64806;0.63467;0.60390;0.60824
1-0-2-0-0-0-0-0-0-3;0.62128;0.65195;0.63887;0.60604;0.60732
1-0-0-0-0-0-2-0-0-3;0.61489;0.64739;0.63305;0.60036;0.60368
0-1-2-0-0-0-3-0-0-0;0.62036;0.64444;0.63301;0.60521;0.60732
0-1-2-0-0-0-0-0-0-3;0.62347;0.65038;0.63732;0.60802;0.60569
0-1-0-0-0-0-2-0-0-3;0.61959;0.64676;0.63294;0.60287;0.60173
0-0-1-0-0-0-2-0-0-3;0.62399;0.64695;0.63244;0.60590;0.61070
1-2-3-0-0-0-4-0-0-0;0.61597;0.65067;0.64198;0.62360;0.63305
1-2-3-0-0-0-0-0-0-4;0.61803;0.65312;0.64339;0.62429;0.63618
1-2-0-0-0-0-3-0-0-4;0.61458;0.65287;0.64263;0.62286;0.63162
1-0-2-0-0-0-3-0-0-4;0.61905;0.65640;0.64689;0.62688;0.63669
0-1-2-0-0-0-3-0-0-4;0.62141;0.65277;0.64295;0.62572;0.63590
1-2-3-0-0-0-4-0-0-5;0.63887;0.64854;0.63895;0.62132;0.62400
