network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.11183;0.11183;0.11183;0.41730;nan;0.11183;0.11183
(b);0.11125;0.11125;0.11125;0.41692;nan;0.11125;0.11125
(c);0.12125;0.12125;0.12125;0.41818;nan;0.12125;0.12125
(d);0.11772;0.11772;0.11772;0.41727;nan;0.11772;0.11772
(e);0.11140;0.11140;0.11140;0.41575;nan;0.11140;0.11140
(a)>(b);0.14948;0.14948;0.14948;0.17418;0.06846;0.07055;0.14948
(a)>(c);0.15647;0.15647;0.15647;0.18127;0.07159;0.07271;0.15647
(a)>(d);0.15001;0.15001;0.15001;0.16870;0.07605;0.07613;0.15001
(a)>(e);0.14968;0.14968;0.14968;0.17253;0.06950;0.07015;0.14968
(b)>(c);0.16060;0.16060;0.16060;0.19000;0.06352;0.06555;0.16060
(b)>(d);0.15521;0.15521;0.15521;0.18127;0.06757;0.06878;0.15521
(b)>(e);0.15055;0.15055;0.15055;0.17544;0.06660;0.06814;0.15055
(c)>(d);0.16171;0.16171;0.16171;0.18461;0.07159;0.07358;0.16171
(c)>(e);0.16034;0.16034;0.16034;0.18701;0.06588;0.06830;0.16034
(d)>(e);0.14927;0.14927;0.14927;0.16767;0.07573;0.07636;0.14927
(a)>(b)>(c);0.18151;0.09657;0.09612;0.10042;0.05190;0.05589;0.09657
(a)>(b)>(d);0.17582;0.09876;0.09854;0.10124;0.05515;0.05787;0.09876
(a)>(b)>(e);0.17531;0.09407;0.09285;0.09650;0.05332;0.05705;0.09407
(a)>(c)>(d);0.18214;0.09831;0.09657;0.10019;0.05804;0.06197;0.09831
(a)>(c)>(e);0.18201;0.09687;0.09528;0.09906;0.05340;0.05754;0.09687
(a)>(d)>(e);0.17151;0.10102;0.09974;0.10349;0.05688;0.06001;0.10102
(b)>(c)>(d);0.18860;0.09581;0.09513;0.09876;0.05057;0.05506;0.09581
(b)>(c)>(e);0.18689;0.09200;0.09193;0.09597;0.05015;0.05407;0.09200
(b)>(d)>(e);0.17689;0.09695;0.09551;0.09982;0.05349;0.05688;0.09695
(c)>(d)>(e);0.18430;0.09891;0.09891;0.10169;0.05548;0.05927;0.09891
(a)>(b)>(c)>(d);0.20170;0.11678;0.11570;0.11744;0.07589;0.05099;0.11678
(a)>(b)>(c)>(e);0.20153;0.11468;0.11300;0.11490;0.07279;0.05007;0.11468
(a)>(b)>(d)>(e);0.19267;0.11664;0.11490;0.11700;0.07644;0.05107;0.11664
(a)>(c)>(d)>(e);0.19927;0.11758;0.11548;0.11744;0.07707;0.05315;0.11758
(b)>(c)>(d)>(e);0.20488;0.11801;0.11722;0.11830;0.07159;0.05065;0.11801
(a)>(b)>(c)>(d)>(e);0.13012;0.09200;0.09147;0.09307;0.06344;0.04763;0.09338
