network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.26730;0.26730;0.26730;0.00000;nan;0.26730;0.26730
(b);0.30218;0.30218;0.30218;0.00000;nan;0.30218;0.30218
(c);0.28882;0.28882;0.28882;0.00000;nan;0.28882;0.28882
(d);0.27476;0.27476;0.27476;0.00000;nan;0.27476;0.27476
(e);0.25939;0.25939;0.25939;0.00000;nan;0.25939;0.25939
(a)>(b);0.37867;0.37867;0.37867;0.16484;0.14625;0.17690;0.37867
(a)>(c);0.36412;0.36412;0.36412;0.14885;0.15326;0.15530;0.36412
(a)>(d);0.33239;0.33239;0.33239;0.18929;0.14341;0.19504;0.33239
(a)>(e);0.33046;0.33046;0.33046;0.18889;0.17121;0.19188;0.33046
(b)>(c);0.38144;0.38144;0.38144;0.15504;0.12551;0.15830;0.38144
(b)>(d);0.37127;0.37127;0.37127;0.15789;0.13253;0.16729;0.37127
(b)>(e);0.34473;0.34473;0.34473;0.16279;0.13278;0.17557;0.34473
(c)>(d);0.35326;0.35326;0.35326;0.17164;0.13834;0.17778;0.35326
(c)>(e);0.35326;0.35326;0.35326;0.16270;0.15385;0.16270;0.35326
(d)>(e);0.32344;0.32344;0.32344;0.19173;0.15476;0.19476;0.32344
(a)>(b)>(c);0.42424;0.19784;0.20209;0.23026;0.10246;0.13834;0.19784
(a)>(b)>(d);0.41505;0.18773;0.21306;0.25316;0.12450;0.13514;0.18773
(a)>(b)>(e);0.39803;0.19273;0.20478;0.23203;0.13600;0.15175;0.19273
(a)>(c)>(d);0.39454;0.20000;0.20962;0.25478;0.11336;0.15116;0.20000
(a)>(c)>(e);0.39109;0.22300;0.21379;0.24837;0.11250;0.14516;0.22300
(a)>(d)>(e);0.36939;0.20144;0.21453;0.26045;0.13253;0.16216;0.20144
(b)>(c)>(d);0.42381;0.18978;0.19929;0.24510;0.10504;0.12450;0.18978
(b)>(c)>(e);0.41148;0.18148;0.19929;0.23746;0.12185;0.13878;0.18148
(b)>(d)>(e);0.39031;0.18681;0.18794;0.23510;0.12397;0.14625;0.18681
(c)>(d)>(e);0.39599;0.20280;0.21575;0.24510;0.12917;0.15323;0.20280
(a)>(b)>(c)>(d);0.44889;0.22559;0.24920;0.28955;0.15414;0.12195;0.22559
(a)>(b)>(c)>(e);0.43439;0.23649;0.23453;0.27576;0.14885;0.13223;0.23649
(a)>(b)>(d)>(e);0.42857;0.22491;0.24262;0.28746;0.16544;0.13253;0.22491
(a)>(c)>(d)>(e);0.41844;0.24415;0.25000;0.27245;0.17690;0.13223;0.24415
(b)>(c)>(d)>(e);0.44292;0.22300;0.24000;0.27900;0.16288;0.12134;0.22300
(a)>(b)>(c)>(d)>(e);0.27744;0.18051;0.19861;0.23077;0.13230;0.12185;0.17778
