network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.06218;0.06218;0.06218;0.97647;nan;0.06218;0.07179
(b);0.06218;0.06218;0.06218;0.97643;nan;0.06218;0.07179
(c);0.03191;0.03191;0.03191;0.97655;nan;0.03191;0.04211
(d);0.04712;0.04712;0.04712;0.97646;nan;0.04712;0.05699
(e);0.04737;0.04737;0.04737;0.97632;nan;0.04737;0.04737
(a)>(b);0.10345;0.10345;0.10345;0.89234;0.01613;0.02174;0.11650
(a)>(c);0.08586;0.08586;0.08586;0.89632;0.00000;0.01081;0.09500
(a)>(d);0.08586;0.08586;0.08586;0.88026;0.00000;0.01622;0.09950
(a)>(e);0.08040;0.08040;0.08040;0.89044;0.00000;0.02162;0.08955
(b)>(c);0.08205;0.08205;0.08205;0.90790;0.01613;0.02660;0.10050
(b)>(d);0.08629;0.08629;0.08629;0.89967;0.01093;0.02688;0.10448
(b)>(e);0.09137;0.09137;0.09137;0.89471;0.00000;0.02162;0.10050
(c)>(d);0.06250;0.06250;0.06250;0.89951;0.01613;0.02660;0.07692
(c)>(e);0.07216;0.07216;0.07216;0.90394;0.00546;0.01613;0.08163
(d)>(e);0.07179;0.07179;0.07179;0.87897;0.02139;0.02660;0.08122
(a)>(b)>(c);0.12315;0.02139;0.02174;0.04211;0.00549;0.01081;0.13810
(a)>(b)>(d);0.12136;0.01630;0.01622;0.04737;0.01081;0.02151;0.13876
(a)>(b)>(e);0.11823;0.01613;0.01639;0.05236;0.00000;0.01093;0.12919
(a)>(c)>(d);0.10945;0.01087;0.01630;0.03704;0.01081;0.01613;0.11765
(a)>(c)>(e);0.11330;0.00000;0.01093;0.03191;0.01087;0.01613;0.11220
(a)>(d)>(e);0.10448;0.01081;0.01630;0.03723;0.00546;0.01622;0.11220
(b)>(c)>(d);0.11000;0.01630;0.02703;0.05208;0.02139;0.03175;0.12255
(b)>(c)>(e);0.11881;0.01093;0.01630;0.03191;0.00546;0.01081;0.12745
(b)>(d)>(e);0.11881;0.01099;0.02186;0.03226;0.01087;0.02162;0.12683
(c)>(d)>(e);0.09137;0.01630;0.02688;0.03191;0.01613;0.01613;0.09596
(a)>(b)>(c)>(d);0.14010;0.02703;0.03226;0.06186;0.01093;0.02139;0.15238
(a)>(b)>(c)>(e);0.14833;0.02139;0.03226;0.05236;0.01630;0.01081;0.15023
(a)>(b)>(d)>(e);0.13942;0.02162;0.02703;0.05263;0.01093;0.01087;0.15094
(a)>(c)>(d)>(e);0.12255;0.01081;0.02162;0.04712;0.01093;0.01613;0.12560
(b)>(c)>(d)>(e);0.13659;0.02174;0.03763;0.04712;0.02162;0.02139;0.14423
(a)>(b)>(c)>(d)>(e);0.04255;0.00552;0.01630;0.02688;0.01630;0.01081;0.16355
