;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.42153;0.42153;0.42153;nan;nan
0-1-0-0-0-0-0-0-0-0;0.42183;0.42183;0.42183;nan;nan
0-0-1-0-0-0-0-0-0-0;0.42075;0.42075;0.42075;nan;nan
0-0-0-0-0-0-1-0-0-0;0.41906;0.41906;0.41906;nan;nan
0-0-0-0-0-0-0-0-0-1;0.42166;0.42166;0.42166;nan;nan
1-2-0-0-0-0-0-0-0-0;0.41394;0.41394;0.41394;0.43004;0.41531
1-0-2-0-0-0-0-0-0-0;0.41243;0.41243;0.41243;0.43096;0.41345
1-0-0-0-0-0-2-0-0-0;0.41063;0.41063;0.41063;0.43126;0.41173
1-0-0-0-0-0-0-0-0-2;0.41200;0.41200;0.41200;0.43272;0.41367
0-1-2-0-0-0-0-0-0-0;0.41368;0.41368;0.41368;0.42979;0.41399
0-1-0-0-0-0-2-0-0-0;0.41163;0.41163;0.41163;0.43035;0.41283
0-1-0-0-0-0-0-0-0-2;0.41247;0.41247;0.41247;0.43204;0.41429
0-0-1-0-0-0-2-0-0-0;0.41153;0.41153;0.41153;0.42915;0.41229
0-0-1-0-0-0-0-0-0-2;0.41296;0.41296;0.41296;0.43046;0.41395
0-0-0-0-0-0-1-0-0-2;0.41105;0.41105;0.41105;0.43079;0.41211
1-2-3-0-0-0-0-0-0-0;0.42029;0.40925;0.42138;0.43281;0.42364
1-2-0-0-0-0-3-0-0-0;0.41976;0.40777;0.42139;0.43309;0.42378
1-2-0-0-0-0-0-0-0-3;0.41993;0.40875;0.42179;0.43385;0.42469
1-0-2-0-0-0-3-0-0-0;0.41958;0.40668;0.42077;0.43314;0.42330
1-0-2-0-0-0-0-0-0-3;0.42018;0.40788;0.42166;0.43366;0.42462
1-0-0-0-0-0-2-0-0-3;0.41958;0.40620;0.42127;0.43449;0.42407
0-1-2-0-0-0-3-0-0-0;0.41964;0.40788;0.42065;0.43256;0.42295
0-1-2-0-0-0-0-0-0-3;0.42006;0.40875;0.42137;0.43333;0.42410
0-1-0-0-0-0-2-0-0-3;0.41943;0.40711;0.42105;0.43373;0.42420
0-0-1-0-0-0-2-0-0-3;0.41972;0.40697;0.42064;0.43287;0.42319
1-2-3-0-0-0-4-0-0-0;0.41621;0.40438;0.41709;0.42698;0.41850
1-2-3-0-0-0-0-0-0-4;0.41647;0.40522;0.41773;0.42750;0.41901
1-2-0-0-0-0-3-0-0-4;0.41599;0.40348;0.41719;0.42741;0.41914
1-0-2-0-0-0-3-0-0-4;0.41610;0.40307;0.41700;0.42731;0.41845
0-1-2-0-0-0-3-0-0-4;0.41627;0.40405;0.41719;0.42738;0.41829
1-2-3-0-0-0-4-0-0-5;0.42088;0.41282;0.42252;0.43005;0.42291
