network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.30792;0.30792;0.30792;nan;nan;0.30792;0.30792
(b);0.30305;0.30305;0.30305;nan;nan;0.30305;0.30305
(c);0.30440;0.30440;0.30440;nan;nan;0.30440;0.30440
(d);0.31238;0.31238;0.31238;nan;nan;0.31238;0.31238
(e);0.30408;0.30408;0.30408;nan;nan;0.30408;0.30408
(a)>(b);0.29392;0.29392;0.29392;0.31633;0.29290;0.31633;0.29392
(a)>(c);0.29573;0.29573;0.29573;0.31813;0.29989;0.31813;0.29573
(a)>(d);0.30329;0.30329;0.30329;0.31627;0.29719;0.31627;0.30329
(a)>(e);0.30045;0.30045;0.30045;0.31366;0.29852;0.31366;0.30045
(b)>(c);0.29166;0.29166;0.29166;0.31800;0.29571;0.31800;0.29166
(b)>(d);0.30209;0.30209;0.30209;0.31307;0.30079;0.31307;0.30209
(b)>(e);0.29822;0.29822;0.29822;0.31886;0.30559;0.31886;0.29822
(c)>(d);0.29723;0.29723;0.29723;0.32013;0.29739;0.32013;0.29723
(c)>(e);0.29610;0.29610;0.29610;0.31470;0.29835;0.31470;0.29610
(d)>(e);0.30477;0.30477;0.30477;0.31585;0.29798;0.31585;0.30477
(a)>(b)>(c);0.29957;0.29156;0.30649;0.31990;0.30923;0.32388;0.29156
(a)>(b)>(d);0.30103;0.28805;0.29765;0.31923;0.30396;0.32277;0.28805
(a)>(b)>(e);0.29976;0.28885;0.29957;0.31800;0.30969;0.32055;0.28885
(a)>(c)>(d);0.29948;0.29091;0.30307;0.32158;0.30491;0.32175;0.29091
(a)>(c)>(e);0.29686;0.29221;0.30006;0.31958;0.30252;0.32184;0.29221
(a)>(d)>(e);0.30371;0.29497;0.30223;0.32064;0.30441;0.31691;0.29497
(b)>(c)>(d);0.30186;0.29277;0.30427;0.31780;0.31165;0.32252;0.29277
(b)>(c)>(e);0.29410;0.28946;0.29787;0.31509;0.30720;0.32027;0.28946
(b)>(d)>(e);0.30546;0.29663;0.30526;0.31461;0.30922;0.31770;0.29663
(c)>(d)>(e);0.29800;0.28877;0.29968;0.32060;0.30521;0.31882;0.28877
(a)>(b)>(c)>(d);0.29668;0.28626;0.29939;0.31462;0.30080;0.32895;0.28626
(a)>(b)>(c)>(e);0.29320;0.28482;0.29750;0.31257;0.29939;0.32766;0.28482
(a)>(b)>(d)>(e);0.30151;0.28568;0.29966;0.30956;0.30308;0.32409;0.28568
(a)>(c)>(d)>(e);0.29712;0.28758;0.30111;0.31415;0.30175;0.32438;0.28758
(b)>(c)>(d)>(e);0.30064;0.28909;0.30278;0.31318;0.30440;0.32488;0.28909
(a)>(b)>(c)>(d)>(e);0.30099;0.29106;0.30185;0.31220;0.29993;0.32965;0.28221
