;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.16619;0.16619;0.16619;nan;nan
0-1-0-0-0-0-0-0-0-0;0.13511;0.13511;0.13511;nan;nan
0-0-1-0-0-0-0-0-0-0;0.22167;0.22167;0.22167;nan;nan
0-0-0-0-0-0-1-0-0-0;0.19730;0.19730;0.19730;nan;nan
0-0-0-0-0-0-0-0-0-1;0.17132;0.17132;0.17132;nan;nan
1-2-0-0-0-0-0-0-0-0;0.11368;0.11368;0.11368;0.17649;0.12698
1-0-2-0-0-0-0-0-0-0;0.17366;0.17366;0.17366;0.30000;nan
1-0-0-0-0-0-2-0-0-0;0.15045;0.15045;0.15045;0.25714;0.21429
1-0-0-0-0-0-0-0-0-2;0.15274;0.15274;0.15274;0.35000;0.25000
0-1-2-0-0-0-0-0-0-0;0.16990;0.16990;0.16990;0.15046;0.07500
0-1-0-0-0-0-2-0-0-0;0.15595;0.15595;0.15595;0.16193;0.15982
0-1-0-0-0-0-0-0-0-2;0.15274;0.15274;0.15274;0.15046;0.14167
0-0-1-0-0-0-2-0-0-0;0.22347;0.22347;0.22347;0.15116;0.15000
0-0-1-0-0-0-0-0-0-2;0.17768;0.17768;0.17768;0.19204;0.19259
0-0-0-0-0-0-1-0-0-2;0.17044;0.17044;0.17044;0.17022;0.17222
1-2-3-0-0-0-0-0-0-0;0.18492;0.10619;0.13849;0.14040;0.30000
1-2-0-0-0-0-3-0-0-0;0.15807;0.10119;0.13433;0.13947;0.25714
1-2-0-0-0-0-0-0-0-3;0.15460;0.09619;0.13433;0.14040;0.32500
1-0-2-0-0-0-3-0-0-0;0.19310;0.10714;0.17143;0.16378;0.30000
1-0-2-0-0-0-0-0-0-3;0.16687;0.13889;0.19259;0.19204;0.30000
1-0-0-0-0-0-2-0-0-3;0.15729;0.15079;0.18063;0.17651;0.30000
0-1-2-0-0-0-3-0-0-0;0.17664;0.17143;0.14026;0.17434;0.12176
0-1-2-0-0-0-0-0-0-3;0.15973;0.13889;0.16537;0.19759;0.13727
0-1-0-0-0-0-2-0-0-3;0.15501;0.18063;0.17553;0.18405;0.15000
0-0-1-0-0-0-2-0-0-3;0.18175;0.19333;0.19333;0.20463;0.15000
1-2-3-0-0-0-4-0-0-0;0.17650;0.09524;0.12400;0.14477;0.14026
1-2-3-0-0-0-0-0-0-4;0.15903;0.13175;0.14785;0.16799;0.13102
1-2-0-0-0-0-3-0-0-4;0.15460;0.12831;0.14936;0.15889;0.15982
1-0-2-0-0-0-3-0-0-4;0.16687;0.17619;0.19683;0.19959;0.15000
0-1-2-0-0-0-3-0-0-4;0.16270;0.19683;0.18656;0.19264;0.14167
1-2-3-0-0-0-4-0-0-5;0.16362;0.17143;0.15982;0.15267;0.14167
