network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.39623;0.39623;0.39623;1.00000;nan;0.39623;0.39623
(b);0.39564;0.39564;0.39564;1.00000;nan;0.39564;0.39564
(c);0.40683;0.40683;0.40683;1.00000;nan;0.40683;0.40683
(d);0.42173;0.42173;0.42173;1.00000;nan;0.42173;0.42173
(e);0.43686;0.43686;0.43686;1.00000;nan;0.43686;0.43686
(a)>(b);0.32267;0.32267;0.32267;0.48352;0.52174;0.47653;0.32267
(a)>(c);0.32718;0.32718;0.32718;0.51527;0.51724;0.51136;0.32718
(a)>(d);0.35227;0.35227;0.35227;0.48929;0.52713;0.48582;0.35227
(a)>(e);0.33908;0.33908;0.33908;0.50741;0.52918;0.50554;0.33908
(b)>(c);0.31443;0.31443;0.31443;0.53101;0.54656;0.52896;0.31443
(b)>(d);0.33604;0.33604;0.33604;0.51128;0.55422;0.50558;0.33604
(b)>(e);0.34473;0.34473;0.34473;0.52326;0.56432;0.51527;0.34473
(c)>(d);0.34239;0.34239;0.34239;0.51493;0.54941;0.51111;0.34239
(c)>(e);0.33152;0.33152;0.33152;0.54762;0.56275;0.54762;0.33152
(d)>(e);0.37982;0.37982;0.37982;0.50752;0.53968;0.50562;0.37982
(a)>(b)>(c);0.27739;0.46403;0.44948;0.43092;0.55738;0.54545;0.46403
(a)>(b)>(d);0.28883;0.46570;0.43986;0.40823;0.55020;0.53282;0.46570
(a)>(b)>(e);0.28993;0.45818;0.43003;0.40850;0.55600;0.54086;0.45818
(a)>(c)>(d);0.30025;0.45965;0.44674;0.42038;0.56275;0.54264;0.45965
(a)>(c)>(e);0.28960;0.45296;0.44828;0.42810;0.58333;0.56855;0.45296
(a)>(d)>(e);0.31398;0.47482;0.45329;0.41801;0.55422;0.53282;0.47482
(b)>(c)>(d);0.28810;0.48175;0.46619;0.42810;0.58824;0.56627;0.48175
(b)>(c)>(e);0.28469;0.47407;0.45552;0.43144;0.59244;0.57959;0.47407
(b)>(d)>(e);0.30867;0.47253;0.45390;0.42053;0.57851;0.54941;0.47253
(c)>(d)>(e);0.30326;0.46503;0.45205;0.43137;0.58333;0.56855;0.46503
(a)>(b)>(c)>(d);0.26222;0.43434;0.41214;0.38507;0.49248;0.57724;0.43434
(a)>(b)>(c)>(e);0.26244;0.42568;0.41042;0.38182;0.49618;0.59091;0.42568
(a)>(b)>(d)>(e);0.27400;0.43599;0.40984;0.38226;0.48162;0.56627;0.43599
(a)>(c)>(d)>(e);0.27660;0.43144;0.41558;0.39319;0.48375;0.58678;0.43144
(b)>(c)>(d)>(e);0.27169;0.43902;0.41667;0.38871;0.51136;0.59833;0.43902
(a)>(b)>(c)>(d)>(e);0.38415;0.46209;0.44948;0.42809;0.52529;0.60504;0.47778
