network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.46151;0.46151;0.46151;nan;nan;0.46151;0.46151
(b);0.46072;0.46072;0.46072;nan;nan;0.46072;0.46072
(c);0.45818;0.45818;0.45818;nan;nan;0.45818;0.45818
(d);0.45934;0.45934;0.45934;nan;nan;0.45934;0.45934
(e);0.45828;0.45828;0.45828;nan;nan;0.45828;0.45828
(a)>(b);0.46499;0.46499;0.46499;0.45841;0.46832;0.45841;0.46499
(a)>(c);0.46380;0.46380;0.46380;0.45692;0.46688;0.45692;0.46380
(a)>(d);0.46498;0.46498;0.46498;0.45653;0.46776;0.45653;0.46498
(a)>(e);0.46501;0.46501;0.46501;0.45593;0.46804;0.45593;0.46501
(b)>(c);0.46380;0.46380;0.46380;0.45596;0.46710;0.45596;0.46380
(b)>(d);0.46513;0.46513;0.46513;0.45596;0.46804;0.45596;0.46513
(b)>(e);0.46446;0.46446;0.46446;0.45563;0.46835;0.45563;0.46446
(c)>(d);0.46358;0.46358;0.46358;0.45468;0.46651;0.45468;0.46358
(c)>(e);0.46339;0.46339;0.46339;0.45428;0.46639;0.45428;0.46339
(d)>(e);0.46301;0.46301;0.46301;0.45543;0.46588;0.45543;0.46301
(a)>(b)>(c);0.46109;0.46793;0.46262;0.45215;0.46512;0.45482;0.46608
(a)>(b)>(d);0.46166;0.46924;0.46362;0.45226;0.46509;0.45421;0.46696
(a)>(b)>(e);0.46125;0.46903;0.46301;0.45129;0.46550;0.45405;0.46682
(a)>(c)>(d);0.46055;0.46826;0.46246;0.45129;0.46418;0.45331;0.46601
(a)>(c)>(e);0.46034;0.46814;0.46184;0.45076;0.46394;0.45307;0.46612
(a)>(d)>(e);0.46015;0.46827;0.46208;0.45153;0.46376;0.45336;0.46605
(b)>(c)>(d);0.46074;0.46838;0.46238;0.45035;0.46440;0.45284;0.46642
(b)>(c)>(e);0.46020;0.46807;0.46197;0.44992;0.46435;0.45262;0.46600
(b)>(d)>(e);0.45987;0.46835;0.46161;0.45082;0.46404;0.45319;0.46623
(c)>(d)>(e);0.45951;0.46773;0.46165;0.45017;0.46298;0.45207;0.46520
(a)>(b)>(c)>(d);0.46315;0.46910;0.46445;0.45823;0.46601;0.45155;0.46753
(a)>(b)>(c)>(e);0.46295;0.46903;0.46400;0.45773;0.46566;0.45164;0.46764
(a)>(b)>(d)>(e);0.46293;0.46955;0.46462;0.45831;0.46594;0.45168;0.46756
(a)>(c)>(d)>(e);0.46214;0.46877;0.46369;0.45752;0.46537;0.45085;0.46693
(b)>(c)>(d)>(e);0.46250;0.46890;0.46386;0.45685;0.46555;0.45053;0.46717
(a)>(b)>(c)>(d)>(e);0.46167;0.46750;0.46297;0.45702;0.46428;0.44959;0.46829
