;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.49907;0.49907;0.49907;nan;nan
0-1-0-0-0-0-0-0-0-0;0.52288;0.52288;0.52288;nan;nan
0-0-1-0-0-0-0-0-0-0;0.46944;0.46944;0.46944;nan;nan
0-0-0-0-0-0-1-0-0-0;0.50417;0.50417;0.50417;nan;nan
0-0-0-0-0-0-0-0-0-1;0.56771;0.56771;0.56771;nan;nan
1-2-0-0-0-0-0-0-0-0;0.61384;0.61384;0.61384;0.53488;0.70370
1-0-2-0-0-0-0-0-0-0;0.48722;0.48722;0.48722;nan;nan
1-0-0-0-0-0-2-0-0-0;0.56019;0.56019;0.56019;0.40000;nan
1-0-0-0-0-0-0-0-0-2;0.52653;0.52653;0.52653;nan;nan
0-1-2-0-0-0-0-0-0-0;0.50352;0.50352;0.50352;0.55556;nan
0-1-0-0-0-0-2-0-0-0;0.54676;0.54676;0.54676;0.45641;0.42500
0-1-0-0-0-0-0-0-0-2;0.54282;0.54282;0.54282;0.51282;nan
0-0-1-0-0-0-2-0-0-0;0.48681;0.48681;0.48681;0.55556;nan
0-0-1-0-0-0-0-0-0-2;0.56181;0.56181;0.56181;0.38889;nan
0-0-0-0-0-0-1-0-0-2;0.52014;0.52014;0.52014;0.55556;nan
1-2-3-0-0-0-0-0-0-0;0.56690;0.70370;0.70370;0.54005;nan
1-2-0-0-0-0-3-0-0-0;0.57801;0.70370;0.55185;0.52936;0.40000
1-2-0-0-0-0-0-0-0-3;0.61603;0.70370;0.70370;0.52936;nan
1-0-2-0-0-0-3-0-0-0;0.52389;nan;nan;0.47778;nan
1-0-2-0-0-0-0-0-0-3;0.53044;nan;nan;0.38889;nan
1-0-0-0-0-0-2-0-0-3;0.55816;nan;nan;0.47778;nan
0-1-2-0-0-0-3-0-0-0;0.51982;0.42500;0.46891;0.47778;0.51282
0-1-2-0-0-0-0-0-0-3;0.54402;nan;nan;0.47222;nan
0-1-0-0-0-0-2-0-0-3;0.54782;0.42500;0.42500;0.48946;nan
0-0-1-0-0-0-2-0-0-3;0.52760;nan;nan;0.50000;nan
1-2-3-0-0-0-4-0-0-0;0.53768;0.70370;0.53884;0.54005;0.45641
1-2-3-0-0-0-0-0-0-4;0.60282;0.70370;0.70370;0.50981;nan
1-2-0-0-0-0-3-0-0-4;0.57282;0.70370;0.55185;0.53460;0.40000
1-0-2-0-0-0-3-0-0-4;0.55653;nan;nan;0.47500;nan
0-1-2-0-0-0-3-0-0-4;0.54819;0.42500;0.42500;0.46432;nan
1-2-3-0-0-0-4-0-0-5;0.55185;nan;0.40000;0.45641;nan
