;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.61095;0.61095;0.61095;nan;nan
0-1-0-0-0-0-0-0-0-0;0.65888;0.65888;0.65888;nan;nan
0-0-1-0-0-0-0-0-0-0;0.59444;0.59444;0.59444;nan;nan
0-0-0-0-0-0-1-0-0-0;0.64643;0.64643;0.64643;nan;nan
0-0-0-0-0-0-0-0-0-1;0.61196;0.61196;0.61196;nan;nan
1-2-0-0-0-0-0-0-0-0;0.69817;0.69817;0.69817;0.58869;0.66270
1-0-2-0-0-0-0-0-0-0;0.62525;0.62525;0.62525;0.50000;nan
1-0-0-0-0-0-2-0-0-0;0.67007;0.67007;0.67007;0.53571;0.60714
1-0-0-0-0-0-0-0-0-2;0.62168;0.62168;0.62168;0.50000;0.52500
0-1-2-0-0-0-0-0-0-0;0.61576;0.61576;0.61576;0.69352;0.76667
0-1-0-0-0-0-2-0-0-0;0.65298;0.65298;0.65298;0.64910;0.66637
0-1-0-0-0-0-0-0-0-2;0.62017;0.62017;0.62017;0.67477;0.67778
0-0-1-0-0-0-2-0-0-0;0.59943;0.59943;0.59943;0.66852;0.67917
0-0-1-0-0-0-0-0-0-2;0.60422;0.60422;0.60422;0.61759;0.57407
0-0-0-0-0-0-1-0-0-2;0.61796;0.61796;0.61796;0.65633;0.66250
1-2-3-0-0-0-0-0-0-0;0.62059;0.70429;0.67024;0.66126;0.50000
1-2-0-0-0-0-3-0-0-0;0.66257;0.71143;0.67440;0.64698;0.54821
1-2-0-0-0-0-0-0-0-3;0.63307;0.70429;0.67024;0.65055;0.50000
1-0-2-0-0-0-3-0-0-0;0.61544;0.72024;0.65516;0.64910;0.52500
1-0-2-0-0-0-0-0-0-3;0.61362;0.61111;0.57407;0.61759;0.50000
1-0-0-0-0-0-2-0-0-3;0.62745;0.68304;0.65143;0.64420;0.52500
0-1-2-0-0-0-3-0-0-0;0.62531;0.65516;0.67624;0.64910;0.69352
0-1-2-0-0-0-0-0-0-3;0.62404;0.61111;0.63259;0.61759;0.69352
0-1-0-0-0-0-2-0-0-3;0.61912;0.65143;0.64286;0.64420;0.65278
0-0-1-0-0-0-2-0-0-3;0.60763;0.60778;0.60278;0.61812;0.66667
1-2-3-0-0-0-4-0-0-0;0.63689;0.71429;0.68388;0.65055;0.67410
1-2-3-0-0-0-0-0-0-4;0.63483;0.64206;0.64388;0.61784;0.69352
1-2-0-0-0-0-3-0-0-4;0.63122;0.69147;0.65789;0.64641;0.63869
1-0-2-0-0-0-3-0-0-4;0.62100;0.62421;0.60767;0.61541;0.67917
0-1-2-0-0-0-3-0-0-4;0.61961;0.60767;0.61729;0.61541;0.67778
1-2-3-0-0-0-4-0-0-5;0.63355;0.65516;0.65119;0.65410;0.67778
