network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);3.56075;3.56075;3.56075;inf;nan;3.56075;3.78505
(b);4.30928;4.30928;4.30928;inf;nan;4.30928;4.74227
(c);4.18367;4.18367;4.18367;inf;nan;4.18367;4.67347
(d);4.10526;4.10526;4.10526;inf;nan;4.10526;4.92632
(e);4.00000;4.00000;4.00000;inf;nan;4.00000;4.43820
(a)>(b);4.88393;4.88393;4.88393;2.78125;2.89286;2.90625;5.28571
(a)>(c);4.59829;4.59829;4.59829;2.86364;2.96512;2.93182;5.05983
(a)>(d);4.27928;4.27928;4.27928;3.28889;2.90588;3.35556;4.95495
(a)>(e);4.02609;4.02609;4.02609;3.53659;3.48052;3.57317;4.39130
(b)>(c);4.79661;4.79661;4.79661;3.17284;2.81481;3.20988;5.38136
(b)>(d);4.95370;4.95370;4.95370;2.97727;3.03846;3.07955;5.62037
(b)>(e);4.44037;4.44037;4.44037;3.22222;3.17808;3.37037;5.12844
(c)>(d);4.60714;4.60714;4.60714;3.28571;3.08861;3.35714;5.46429
(c)>(e);4.41379;4.41379;4.41379;3.57534;3.61429;3.57534;4.95690
(d)>(e);4.55000;4.55000;4.55000;3.60000;3.28571;3.63750;5.36000
(a)>(b)>(c);5.19531;3.12766;3.03000;3.31068;2.54217;3.03750;5.99180
(a)>(b)>(d);5.18033;2.96875;3.10891;3.44860;2.83951;2.82558;5.82051
(a)>(b)>(e);4.75591;2.96875;2.85981;3.07273;3.12987;3.24051;5.64655
(a)>(c)>(d);4.86179;3.11340;3.13000;3.64706;2.78750;3.25316;5.74167
(a)>(c)>(e);4.58140;3.46237;3.22449;3.62626;3.02740;3.50704;5.32258
(a)>(d)>(e);4.49167;3.33333;3.30208;3.73000;3.03846;3.34177;5.28947
(b)>(c)>(d);5.41322;3.20000;3.18085;3.56000;2.94521;3.03896;6.32479
(b)>(c)>(e);5.00000;2.95699;3.05155;3.45455;3.35294;3.53623;5.69919
(b)>(d)>(e);4.91525;3.03226;2.84158;3.26923;3.19444;3.24675;6.10000
(c)>(d)>(e);4.95833;3.23158;3.30928;3.60606;3.37681;3.69565;5.76271
(a)>(b)>(c)>(d);5.56923;3.26733;3.42453;3.85321;2.70213;3.13514;6.34400
(a)>(b)>(c)>(e);5.16418;3.36000;3.13761;3.53097;2.65591;3.56716;6.20800
(a)>(b)>(d)>(e);5.24409;3.27551;3.27358;3.76852;2.77083;3.20000;6.15966
(a)>(c)>(d)>(e);5.02326;3.58763;3.48544;3.62037;2.98936;3.50000;6.03252
(b)>(c)>(d)>(e);5.60800;3.27835;3.31068;3.68868;3.06977;3.43284;6.60504
(a)>(b)>(c)>(d)>(e);3.59459;2.80808;2.97030;3.28431;2.69318;3.55385;6.67717
