network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);53.25000;53.25000;53.25000;inf;nan;53.25000;53.25000
(b);107.50000;107.50000;107.50000;inf;nan;107.50000;107.50000
(c);49.00000;49.00000;49.00000;inf;nan;49.00000;49.00000
(d);51.25000;51.25000;51.25000;inf;nan;51.25000;51.25000
(e);103.00000;103.00000;103.00000;inf;nan;103.00000;103.00000
(a)>(b);48.00000;48.00000;48.00000;4655.0000;inf;191.00000;48.00000
(a)>(c);45.40000;45.40000;45.40000;1642.0000;182.00000;62.00000;45.40000
(a)>(d);45.40000;45.40000;45.40000;1048.0000;60.00000;46.75000;45.40000
(a)>(e);56.75000;56.75000;56.75000;1530.3333;90.50000;63.33333;56.75000
(b)>(c);55.75000;55.75000;55.75000;2796.5000;inf;98.00000;55.75000
(b)>(d);56.75000;56.75000;56.75000;2524.0000;inf;97.00000;56.75000
(b)>(e);57.25000;57.25000;57.25000;inf;inf;inf;57.25000
(c)>(d);35.00000;35.00000;35.00000;2547.5000;191.00000;98.00000;35.00000
(c)>(e);73.00000;73.00000;73.00000;1782.0000;184.00000;63.00000;73.00000
(d)>(e);54.75000;54.75000;54.75000;2084.0000;96.50000;98.00000;54.75000
(a)>(b)>(c);41.16667;194.00000;191.00000;50.50000;inf;93.50000;194.00000
(a)>(b)>(d);41.66667;94.00000;62.66667;40.60000;188.00000;96.00000;94.00000
(a)>(b)>(e);49.20000;95.00000;93.50000;51.75000;inf;186.00000;95.00000
(a)>(c)>(d);34.00000;61.66667;46.50000;39.60000;93.50000;95.00000;61.66667
(a)>(c)>(e);40.50000;90.50000;61.33333;49.00000;93.00000;63.00000;90.50000
(a)>(d)>(e);47.60000;62.00000;62.33333;49.50000;91.50000;62.66667;62.00000
(b)>(c)>(d);47.80000;189.00000;194.00000;41.40000;inf;200.00000;189.00000
(b)>(c)>(e);49.00000;186.00000;189.00000;65.66667;inf;93.50000;186.00000
(b)>(d)>(e);61.50000;92.00000;94.50000;48.50000;inf;inf;92.00000
(c)>(d)>(e);45.60000;94.00000;97.00000;49.00000;191.00000;95.00000;94.00000
(a)>(b)>(c)>(d);36.85714;96.50000;65.00000;35.33333;92.50000;194.00000;96.50000
(a)>(b)>(c)>(e);44.16667;96.50000;98.00000;51.75000;189.00000;93.50000;96.50000
(a)>(b)>(d)>(e);43.33333;95.50000;64.00000;51.50000;61.33333;187.00000;95.50000
(a)>(c)>(d)>(e);41.33333;62.00000;63.33333;40.80000;92.50000;95.00000;62.00000
(b)>(c)>(d)>(e);51.20000;95.00000;99.00000;40.80000;192.00000;194.00000;95.00000
(a)>(b)>(c)>(d)>(e);67.00000;90.50000;62.33333;48.00000;189.00000;188.00000;91.50000
