network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.95957;0.95957;0.95957;inf;nan;0.95957;0.95957
(b);0.99526;0.99526;0.99526;inf;nan;0.99526;0.99526
(c);1.00877;1.00877;1.00877;inf;nan;1.00877;1.00877
(d);1.02060;1.02060;1.02060;inf;nan;1.02060;1.02060
(e);1.02269;1.02269;1.02269;inf;nan;1.02269;1.02269
(a)>(b);0.88215;0.88215;0.88215;1.26736;1.07117;1.08793;0.88215
(a)>(c);0.88436;0.88436;0.88436;1.28499;1.08349;1.09479;0.88436
(a)>(d);0.92490;0.92490;0.92490;1.21620;1.05345;1.05753;0.92490
(a)>(e);0.90597;0.90597;0.90597;1.26573;1.07928;1.08882;0.90597
(b)>(c);0.87614;0.87614;0.87614;1.35737;1.11475;1.13587;0.87614
(b)>(d);0.91098;0.91098;0.91098;1.31053;1.10717;1.11311;0.91098
(b)>(e);0.90656;0.90656;0.90656;1.30647;1.10619;1.11928;0.90656
(c)>(d);0.91245;0.91245;0.91245;1.32206;1.10828;1.12517;0.91245
(c)>(e);0.90163;0.90163;0.90163;1.35942;1.12555;1.14790;0.90163
(d)>(e);0.95082;0.95082;0.95082;1.25268;1.08939;1.09491;0.95082
(a)>(b)>(c);0.85190;0.92762;0.92370;0.96102;1.17197;1.20791;0.92762
(a)>(b)>(d);0.88403;0.95002;0.94409;0.96935;1.13758;1.16368;0.95002
(a)>(b)>(e);0.87531;0.93900;0.92971;0.96330;1.15779;1.19204;0.93900
(a)>(c)>(d);0.87969;0.95025;0.93455;0.96864;1.14458;1.17948;0.95025
(a)>(c)>(e);0.86608;0.95267;0.93903;0.97580;1.16686;1.20671;0.95267
(a)>(d)>(e);0.89607;0.96900;0.95809;0.99180;1.12005;1.14916;0.96900
(b)>(c)>(d);0.87368;0.94962;0.94158;0.97297;1.19439;1.23202;0.94962
(b)>(c)>(e);0.86713;0.94279;0.94174;0.97896;1.20716;1.24356;0.94279
(b)>(d)>(e);0.89292;0.96167;0.94961;0.98597;1.16646;1.19446;0.96167
(c)>(d)>(e);0.89448;0.97085;0.97038;0.99940;1.18113;1.21368;0.97085
(a)>(b)>(c)>(d);0.86526;0.89702;0.88453;0.89986;0.98369;1.26793;0.89702
(a)>(b)>(c)>(e);0.85684;0.88649;0.87046;0.88998;0.98762;1.29099;0.88649
(a)>(b)>(d)>(e);0.87984;0.90671;0.89267;0.91137;0.99555;1.23620;0.90671
(a)>(c)>(d)>(e);0.86969;0.91910;0.89945;0.92024;0.99315;1.25585;0.91910
(b)>(c)>(d)>(e);0.87548;0.90124;0.89232;0.90486;1.01089;1.29751;0.90124
(a)>(b)>(c)>(d)>(e);0.85760;0.93814;0.93268;0.94630;1.03675;1.33013;0.95004
