network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.85245;0.85245;0.85245;inf;nan;0.85245;0.87007
(b);0.88381;0.88381;0.88381;inf;nan;0.88381;0.89977
(c);0.89801;0.89801;0.89801;inf;nan;0.89801;0.92489
(d);0.90928;0.90928;0.90928;inf;nan;0.90928;0.92964
(e);0.91246;0.91246;0.91246;inf;nan;0.91246;0.92997
(a)>(b);0.77250;0.77250;0.77250;0.97441;0.96001;0.97803;0.79630
(a)>(c);0.77570;0.77570;0.77570;0.97928;0.97187;0.98390;0.80691
(a)>(d);0.81722;0.81722;0.81722;0.94168;0.94338;0.94588;0.84232
(a)>(e);0.80021;0.80021;0.80021;0.97157;0.96619;0.97556;0.82450
(b)>(c);0.76780;0.76780;0.76780;1.01819;1.00189;1.02147;0.79934
(b)>(d);0.80106;0.80106;0.80106;0.99761;0.99374;1.00075;0.82727
(b)>(e);0.79970;0.79970;0.79970;1.00214;0.99324;1.00528;0.82166
(c)>(d);0.80477;0.80477;0.80477;1.00452;0.99412;1.01043;0.83669
(c)>(e);0.79425;0.79425;0.79425;1.02895;1.00994;1.03275;0.82588
(d)>(e);0.84108;0.84108;0.84108;0.97559;0.97650;0.98095;0.86773
(a)>(b)>(c);0.74313;0.82040;0.81782;0.85309;1.05930;1.09248;0.78128
(a)>(b)>(d);0.77424;0.84438;0.83830;0.86197;1.02385;1.05003;0.80929
(a)>(b)>(e);0.76778;0.83357;0.82569;0.85805;1.04245;1.07614;0.80157
(a)>(c)>(d);0.77250;0.84359;0.82893;0.85951;1.03084;1.06326;0.81979
(a)>(c)>(e);0.76017;0.84446;0.83264;0.86670;1.05172;1.08921;0.80473
(a)>(d)>(e);0.78962;0.86085;0.85091;0.88275;1.00669;1.03466;0.82913
(b)>(c)>(d);0.76407;0.84172;0.83419;0.86411;1.07720;1.11401;0.80822
(b)>(c)>(e);0.75916;0.83705;0.83546;0.87053;1.08888;1.12440;0.79689
(b)>(d)>(e);0.78435;0.85607;0.84518;0.88004;1.04978;1.07770;0.82217
(c)>(d)>(e);0.78664;0.86264;0.86190;0.88981;1.06373;1.09507;0.82313
(a)>(b)>(c)>(d);0.75560;0.79180;0.77894;0.79211;0.87709;1.14864;0.80585
(a)>(b)>(c)>(e);0.74877;0.78102;0.76655;0.78408;0.88074;1.17031;0.79955
(a)>(b)>(d)>(e);0.77096;0.80211;0.78892;0.80514;0.88900;1.11829;0.81510
(a)>(c)>(d)>(e);0.76259;0.81224;0.79370;0.81376;0.88439;1.13639;0.81745
(b)>(c)>(d)>(e);0.76560;0.79715;0.78831;0.79939;0.90038;1.17631;0.81155
(a)>(b)>(c)>(d)>(e);0.75279;0.83389;0.82736;0.84009;0.92692;1.20771;0.81634
