network_order;cityscapes;coco
(a);0.00000;0.45923
(b);0.00000;0.43304
(c);0.00000;0.42795
(d);0.00000;0.41850
(e);0.00000;0.41014
(a)>(b);0.00000;0.48069
(a)>(c);0.00000;0.48548
(a)>(d);0.00000;0.47234
(a)>(e);0.00000;0.49356
(b)>(c);0.00000;0.49167
(b)>(d);0.00000;0.46552
(b)>(e);0.00000;0.47391
(c)>(d);0.00000;0.47059
(c)>(e);0.00000;0.48739
(d)>(e);0.00000;0.43860
(a)>(b)>(c);0.00000;0.43668
(a)>(b)>(d);0.00000;0.44105
(a)>(b)>(e);0.00000;0.45923
(a)>(c)>(d);0.00000;0.43478
(a)>(c)>(e);0.00000;0.42982
(a)>(d)>(e);0.00000;0.42291
(b)>(c)>(d);0.00000;0.41778
(b)>(c)>(e);0.00000;0.43111
(b)>(d)>(e);0.00000;0.44105
(c)>(d)>(e);0.00000;0.42358
(a)>(b)>(c)>(d);0.00000;0.45106
(a)>(b)>(c)>(e);0.00000;0.46383
(a)>(b)>(d)>(e);0.00000;0.45887
(a)>(c)>(d)>(e);0.00000;0.44589
(b)>(c)>(d)>(e);0.00000;0.45175
(a)>(b)>(c)>(d)>(e);0.00000;0.43913
