network_order;cityscapes;coco
(a);0.00000;0.02210
(b);0.00000;0.01105
(c);0.00000;0.02198
(d);0.00000;0.02198
(e);0.00000;0.01105
(a)>(b);0.00000;0.02747
(a)>(c);0.00000;0.02762
(a)>(d);0.00000;0.02762
(a)>(e);0.00000;0.02186
(b)>(c);0.00000;0.02235
(b)>(d);0.00000;0.02222
(b)>(e);0.00000;0.02235
(c)>(d);0.00000;0.03333
(c)>(e);0.00000;0.01667
(d)>(e);0.00000;0.02210
(a)>(b)>(c);0.00000;0.00556
(a)>(b)>(d);0.00000;0.01648
(a)>(b)>(e);0.00000;0.01111
(a)>(c)>(d);0.00000;0.02210
(a)>(c)>(e);0.00000;0.01657
(a)>(d)>(e);0.00000;0.01657
(b)>(c)>(d);0.00000;0.00556
(b)>(c)>(e);0.00000;0.00552
(b)>(d)>(e);0.00000;0.01117
(c)>(d)>(e);0.00000;0.01105
(a)>(b)>(c)>(d);0.00000;0.01667
(a)>(b)>(c)>(e);0.00000;0.01111
(a)>(b)>(d)>(e);0.00000;0.01667
(a)>(c)>(d)>(e);0.00000;0.01657
(b)>(c)>(d)>(e);0.00000;0.01117
(a)>(b)>(c)>(d)>(e);0.00000;0.01657
