network_order;cityscapes;coco
(a);0.85210;0.89405
(b);0.85202;0.89465
(c);0.85210;0.89097
(d);0.85239;0.88983
(e);0.84802;0.88893
(a)>(b);0.85585;0.89344
(a)>(c);0.85210;0.89165
(a)>(d);0.85504;0.89155
(a)>(e);0.85362;0.89117
(b)>(c);0.85584;0.89153
(b)>(d);0.85487;0.89178
(b)>(e);0.85437;0.89117
(c)>(d);0.85504;0.88972
(c)>(e);0.85362;0.88944
(d)>(e);0.85139;0.88896
(a)>(b)>(c);0.85210;0.89588
(a)>(b)>(d);0.85529;0.89612
(a)>(b)>(e);0.85408;0.89545
(a)>(c)>(d);0.85211;0.89442
(a)>(c)>(e);0.85212;0.89403
(a)>(d)>(e);0.85309;0.89326
(b)>(c)>(d);0.85527;0.89514
(b)>(c)>(e);0.85420;0.89461
(b)>(d)>(e);0.85289;0.89326
(c)>(d)>(e);0.85309;0.89261
(a)>(b)>(c)>(d);0.85534;0.89481
(a)>(b)>(c)>(e);0.85446;0.89447
(a)>(b)>(d)>(e);0.85538;0.89409
(a)>(c)>(d)>(e);0.85489;0.89312
(b)>(c)>(d)>(e);0.85513;0.89347
(a)>(b)>(c)>(d)>(e);0.85478;0.89555
