network_order;cityscapes;coco
(a);0.45678;0.62688
(b);0.45606;0.62196
(c);0.45678;0.61287
(d);0.43379;0.61184
(e);0.44872;0.61370
(a)>(b);0.46065;0.62162
(a)>(c);0.45678;0.61682
(a)>(d);0.45393;0.61330
(a)>(e);0.45454;0.61617
(b)>(c);0.46084;0.61613
(b)>(d);0.45387;0.61328
(b)>(e);0.45308;0.61568
(c)>(d);0.45393;0.60867
(c)>(e);0.45454;0.61080
(d)>(e);0.44689;0.60785
(a)>(b)>(c);0.45677;0.64108
(a)>(b)>(d);0.46377;0.63684
(a)>(b)>(e);0.47093;0.64129
(a)>(c)>(d);0.45678;0.63807
(a)>(c)>(e);0.45679;0.63765
(a)>(d)>(e);0.46228;0.63202
(b)>(c)>(d);0.46477;0.63810
(b)>(c)>(e);0.47099;0.63915
(b)>(d)>(e);0.46343;0.63529
(c)>(d)>(e);0.46228;0.62998
(a)>(b)>(c)>(d);0.46117;0.63775
(a)>(b)>(c)>(e);0.46643;0.64108
(a)>(b)>(d)>(e);0.46921;0.63628
(a)>(c)>(d)>(e);0.46041;0.63421
(b)>(c)>(d)>(e);0.46947;0.63483
(a)>(b)>(c)>(d)>(e);0.46532;0.64150
