network_order;cityscapes;coco
(a);0.09343;0.05273
(b);0.09288;0.05266
(c);0.09343;0.05560
(d);0.08963;0.05512
(e);0.09327;0.05579
(a)>(b);0.08047;0.04558
(a)>(c);0.09343;0.04749
(a)>(d);0.08080;0.04615
(a)>(e);0.08128;0.04622
(b)>(c);0.08044;0.04668
(b)>(d);0.07908;0.04554
(b)>(e);0.07939;0.04558
(c)>(d);0.08080;0.04764
(c)>(e);0.08128;0.04776
(d)>(e);0.08347;0.04824
(a)>(b)>(c);0.09369;0.05182
(a)>(b)>(d);0.08964;0.05152
(a)>(b)>(e);0.09118;0.05172
(a)>(c)>(d);0.09362;0.05254
(a)>(c)>(e);0.09365;0.05257
(a)>(d)>(e);0.09037;0.05285
(b)>(c)>(d);0.08958;0.05218
(b)>(c)>(e);0.09125;0.05231
(b)>(d)>(e);0.08986;0.05289
(c)>(d)>(e);0.09037;0.05361
(a)>(b)>(c)>(d);0.08698;0.04859
(a)>(b)>(c)>(e);0.08678;0.04871
(a)>(b)>(d)>(e);0.08489;0.04847
(a)>(c)>(d)>(e);0.08546;0.04924
(b)>(c)>(d)>(e);0.08509;0.04892
(a)>(b)>(c)>(d)>(e);0.09124;0.05253
