network_order;cityscapes;coco
(a);nan;0.10019
(b);nan;0.09282
(c);nan;0.10463
(d);nan;0.09978
(e);nan;0.09956
(a)>(b);nan;0.08526
(a)>(c);nan;0.09426
(a)>(d);nan;0.08781
(a)>(e);nan;0.09158
(b)>(c);nan;0.08818
(b)>(d);nan;0.08446
(b)>(e);nan;0.08797
(c)>(d);nan;0.09260
(c)>(e);nan;0.09589
(d)>(e);nan;0.09045
(a)>(b)>(c);nan;0.09510
(a)>(b)>(d);nan;0.09059
(a)>(b)>(e);nan;0.09048
(a)>(c)>(d);nan;0.09492
(a)>(c)>(e);nan;0.09624
(a)>(d)>(e);nan;0.09308
(b)>(c)>(d);nan;0.09031
(b)>(c)>(e);nan;0.09098
(b)>(d)>(e);nan;0.08925
(c)>(d)>(e);nan;0.09307
(a)>(b)>(c)>(d);nan;0.08757
(a)>(b)>(c)>(e);nan;0.09073
(a)>(b)>(d)>(e);nan;0.08810
(a)>(c)>(d)>(e);nan;0.09309
(b)>(c)>(d)>(e);nan;0.08916
(a)>(b)>(c)>(d)>(e);nan;0.09469
