network_order;cityscapes;coco
(a);nan;0.10267
(b);nan;0.11112
(c);nan;0.09879
(d);nan;0.10747
(e);nan;0.11431
(a)>(b);nan;0.12402
(a)>(c);nan;0.11322
(a)>(d);nan;0.11484
(a)>(e);nan;0.11662
(b)>(c);nan;0.12455
(b)>(d);nan;0.12484
(b)>(e);nan;0.12676
(c)>(d);nan;0.11910
(c)>(e);nan;0.11754
(d)>(e);nan;0.11742
(a)>(b)>(c);nan;0.10901
(a)>(b)>(d);nan;0.11319
(a)>(b)>(e);nan;0.11541
(a)>(c)>(d);nan;0.10531
(a)>(c)>(e);nan;0.10770
(a)>(d)>(e);nan;0.11456
(b)>(c)>(d);nan;0.10921
(b)>(c)>(e);nan;0.11178
(b)>(d)>(e);nan;0.11997
(c)>(d)>(e);nan;0.11668
(a)>(b)>(c)>(d);nan;0.11660
(a)>(b)>(c)>(e);nan;0.11647
(a)>(b)>(d)>(e);nan;0.11904
(a)>(c)>(d)>(e);nan;0.11204
(b)>(c)>(d)>(e);nan;0.11749
(a)>(b)>(c)>(d)>(e);nan;0.10998
