network_order;v-1_a0;v0_a-1;v0_a0;v0_a1;v1_a0
(a);0.74887;0.74887;0.74887;nan;nan
(b);0.74883;0.74883;0.74883;nan;nan
(c);0.74887;0.74887;0.74887;nan;nan
(d);0.74918;0.74918;0.74918;nan;nan
(e);0.74269;0.74269;0.74269;nan;nan
(a)>(b);0.75465;0.75465;0.75465;0.74257;0.76334
(a)>(c);0.74887;0.74887;0.74887;0.74887;0.74887
(a)>(d);0.75329;0.75329;0.75329;0.74479;0.76307
(a)>(e);0.75121;0.75121;0.75121;0.73999;0.75826
(b)>(c);0.75464;0.75464;0.75464;0.74254;0.76326
(b)>(d);0.75318;0.75318;0.75318;0.74471;0.76473
(b)>(e);0.75237;0.75237;0.75237;0.74033;0.76043
(c)>(d);0.75329;0.75329;0.75329;0.74479;0.76307
(c)>(e);0.75121;0.75121;0.75121;0.73999;0.75826
(d)>(e);0.74786;0.74786;0.74786;0.74401;0.75726
(a)>(b)>(c);0.74450;0.75961;0.74884;0.73924;0.75246
(a)>(b)>(d);0.74718;0.76130;0.75356;0.73268;0.76117
(a)>(b)>(e);0.74641;0.75991;0.75174;0.73097;0.75739
(a)>(c)>(d);0.74715;0.75508;0.74887;0.73802;0.75642
(a)>(c)>(e);0.74523;0.75491;0.74888;0.73757;0.75189
(a)>(d)>(e);0.74414;0.75812;0.75022;0.73390;0.75575
(b)>(c)>(d);0.74728;0.76097;0.75352;0.73263;0.76160
(b)>(c)>(e);0.74652;0.76022;0.75189;0.73122;0.75734
(b)>(d)>(e);0.74394;0.75830;0.75001;0.73319;0.75755
(c)>(d)>(e);0.74414;0.75812;0.75022;0.73390;0.75575
(a)>(b)>(c)>(d);0.74968;0.75892;0.75372;0.74428;0.75715
(a)>(b)>(c)>(e);0.74838;0.75865;0.75246;0.74369;0.75577
(a)>(b)>(d)>(e);0.74847;0.75865;0.75373;0.74357;0.75778
(a)>(c)>(d)>(e);0.74930;0.75528;0.75301;0.74186;0.75673
(b)>(c)>(d)>(e);0.74855;0.75864;0.75337;0.74436;0.75783
(a)>(b)>(c)>(d)>(e);0.74963;0.75727;0.75273;0.74131;0.75606
