network_order;cityscapes;coco
(a);0.38578;0.18971
(b);0.37682;0.19678
(c);0.38578;0.19603
(d);0.43029;0.19946
(e);0.38219;0.20204
(a)>(b);0.34817;0.16049
(a)>(c);0.38578;0.15828
(a)>(d);0.37350;0.16939
(a)>(e);0.35636;0.16572
(b)>(c);0.34817;0.15515
(b)>(d);0.36301;0.16440
(b)>(e);0.34868;0.16551
(c)>(d);0.37350;0.16237
(c)>(e);0.35636;0.16063
(d)>(e);0.37426;0.17458
(a)>(b)>(c);0.38578;0.18682
(a)>(b)>(d);0.39243;0.19043
(a)>(b)>(e);0.37682;0.18960
(a)>(c)>(d);0.38578;0.18908
(a)>(c)>(e);0.38578;0.19030
(a)>(d)>(e);0.39447;0.19269
(b)>(c)>(d);0.39166;0.19061
(b)>(c)>(e);0.37682;0.19188
(b)>(d)>(e);0.38936;0.19269
(c)>(d)>(e);0.39447;0.19533
(a)>(b)>(c)>(d);0.37657;0.17226
(a)>(b)>(c)>(e);0.36685;0.17033
(a)>(b)>(d)>(e);0.37119;0.17461
(a)>(c)>(d)>(e);0.37657;0.17549
(b)>(c)>(d)>(e);0.37094;0.17367
(a)>(b)>(c)>(d)>(e);0.38808;0.19033
