network_order;cityscapes;coco
(a);0.85572;0.89645
(b);0.85673;0.89731
(c);0.85572;0.89408
(d);0.85561;0.89231
(e);0.85141;0.89170
(a)>(b);0.85791;0.89475
(a)>(c);0.85572;0.89320
(a)>(d);0.85591;0.89269
(a)>(e);0.85452;0.89214
(b)>(c);0.85785;0.89302
(b)>(d);0.85661;0.89280
(b)>(e);0.85539;0.89231
(c)>(d);0.85591;0.89093
(c)>(e);0.85452;0.89067
(d)>(e);0.85268;0.89015
(a)>(b)>(c);0.85559;0.89825
(a)>(b)>(d);0.85869;0.89807
(a)>(b)>(e);0.85739;0.89749
(a)>(c)>(d);0.85563;0.89659
(a)>(c)>(e);0.85563;0.89630
(a)>(d)>(e);0.85596;0.89532
(b)>(c)>(d);0.85874;0.89753
(b)>(c)>(e);0.85743;0.89697
(b)>(d)>(e);0.85627;0.89557
(c)>(d)>(e);0.85596;0.89469
(a)>(b)>(c)>(d);0.85773;0.89649
(a)>(b)>(c)>(e);0.85691;0.89627
(a)>(b)>(d)>(e);0.85739;0.89563
(a)>(c)>(d)>(e);0.85664;0.89477
(b)>(c)>(d)>(e);0.85726;0.89514
(a)>(b)>(c)>(d)>(e);0.85776;0.89777
