network_order;v-1_a0;v0_a-1;v0_a0;v0_a1;v1_a0
(a);0.45871;0.45871;0.45871;0.00000;nan
(b);0.45858;0.45858;0.45858;0.00000;nan
(c);0.45871;0.45871;0.45871;0.00000;nan
(d);0.43543;0.43543;0.43543;0.00000;nan
(e);0.45051;0.45051;0.45051;0.00000;nan
(a)>(b);0.46176;0.46176;0.46176;0.40122;0.47039
(a)>(c);0.45871;0.45871;0.45871;0.45871;0.45871
(a)>(d);0.45439;0.45439;0.45439;0.39236;0.44805
(a)>(e);0.45502;0.45502;0.45502;0.40669;0.46841
(b)>(c);0.46192;0.46192;0.46192;0.40161;0.47110
(b)>(d);0.45479;0.45479;0.45479;0.38468;0.45156
(b)>(e);0.45362;0.45362;0.45362;0.39644;0.47110
(c)>(d);0.45439;0.45439;0.45439;0.39236;0.44805
(c)>(e);0.45502;0.45502;0.45502;0.40669;0.46841
(d)>(e);0.44757;0.44757;0.44757;0.39342;0.44687
(a)>(b)>(c);0.45513;0.46540;0.45865;0.44875;0.46210
(a)>(b)>(d);0.45259;0.46799;0.46562;0.44284;0.44960
(a)>(b)>(e);0.44790;0.47476;0.47275;0.44411;0.46549
(a)>(c)>(d);0.45378;0.45988;0.45867;0.45012;0.44679
(a)>(c)>(e);0.45114;0.46364;0.45867;0.44683;0.46376
(a)>(d)>(e);0.44759;0.46565;0.46384;0.44322;0.44934
(b)>(c)>(d);0.45160;0.46932;0.46666;0.44386;0.44831
(b)>(c)>(e);0.44783;0.47460;0.47277;0.44332;0.46525
(b)>(d)>(e);0.44554;0.46809;0.46527;0.44006;0.44939
(c)>(d)>(e);0.44759;0.46565;0.46384;0.44322;0.44934
(a)>(b)>(c)>(d);0.45276;0.46442;0.46245;0.45574;0.46532
(a)>(b)>(c)>(e);0.44918;0.46843;0.46776;0.45886;0.46955
(a)>(b)>(d)>(e);0.44480;0.46998;0.47031;0.45681;0.46911
(a)>(c)>(d)>(e);0.44905;0.46241;0.46136;0.45210;0.46501
(b)>(c)>(d)>(e);0.44383;0.47042;0.47064;0.45453;0.46770
(a)>(b)>(c)>(d)>(e);0.46278;0.47167;0.46695;0.45778;0.46430
