network_order;cityscapes;coco
(a);0.48032;0.63207
(b);0.47987;0.62752
(c);0.48032;0.62015
(d);0.45263;0.61758
(e);0.47001;0.61997
(a)>(b);0.47292;0.61734
(a)>(c);0.48032;0.61394
(a)>(d);0.46534;0.60852
(a)>(e);0.46586;0.61116
(b)>(c);0.47301;0.61231
(b)>(d);0.46419;0.60797
(b)>(e);0.46314;0.61011
(c)>(d);0.46534;0.60484
(c)>(e);0.46586;0.60687
(d)>(e);0.45926;0.60422
(a)>(b)>(c);0.48053;0.64627
(a)>(b)>(d);0.48543;0.64161
(a)>(b)>(e);0.49387;0.64607
(a)>(c)>(d);0.48051;0.64328
(a)>(c)>(e);0.48053;0.64274
(a)>(d)>(e);0.48322;0.63687
(b)>(c)>(d);0.48640;0.64334
(b)>(c)>(e);0.49402;0.64435
(b)>(d)>(e);0.48425;0.64040
(c)>(d)>(e);0.48322;0.63541
(a)>(b)>(c)>(d);0.47937;0.63795
(a)>(b)>(c)>(e);0.48447;0.64128
(a)>(b)>(d)>(e);0.48565;0.63590
(a)>(c)>(d)>(e);0.47672;0.63422
(b)>(c)>(d)>(e);0.48608;0.63472
(a)>(b)>(c)>(d)>(e);0.48807;0.64740
