network_order;cityscapes;coco
(a);0.82341;0.89600
(b);0.82281;0.89603
(c);0.82341;0.89026
(d);0.82924;0.89118
(e);0.82267;0.88970
(a)>(b);0.84581;0.90948
(a)>(c);0.82341;0.90588
(a)>(d);0.84648;0.90845
(a)>(e);0.84541;0.90842
(b)>(c);0.84598;0.90729
(b)>(d);0.84823;0.90951
(b)>(e);0.84817;0.90935
(c)>(d);0.84648;0.90553
(c)>(e);0.84541;0.90540
(d)>(e);0.84109;0.90436
(a)>(b)>(c);0.82300;0.89761
(a)>(b)>(d);0.82941;0.89835
(a)>(b)>(e);0.82676;0.89795
(a)>(c)>(d);0.82311;0.89631
(a)>(c)>(e);0.82306;0.89623
(a)>(d)>(e);0.82847;0.89568
(b)>(c)>(d);0.82937;0.89682
(b)>(c)>(e);0.82671;0.89657
(b)>(d)>(e);0.82851;0.89539
(c)>(d)>(e);0.82847;0.89423
(a)>(b)>(c)>(d);0.83512;0.90382
(a)>(b)>(c)>(e);0.83500;0.90354
(a)>(b)>(d)>(e);0.83849;0.90404
(a)>(c)>(d)>(e);0.83803;0.90254
(b)>(c)>(d)>(e);0.83802;0.90304
(a)>(b)>(c)>(d)>(e);0.82728;0.89632
