network_order;v-1_a0;v0_a-1;v0_a0;v0_a1;v1_a0
(a);0.53606;0.53606;0.53606;0.00000;nan
(b);0.53527;0.53527;0.53527;0.00000;nan
(c);0.53606;0.53606;0.53606;0.00000;nan
(d);0.50891;0.50891;0.50891;0.00000;nan
(e);0.52914;0.52914;0.52914;0.00000;nan
(a)>(b);0.53823;0.53823;0.53823;0.46970;0.54505
(a)>(c);0.53606;0.53606;0.53606;0.53606;0.53606
(a)>(d);0.53089;0.53089;0.53089;0.45871;0.51976
(a)>(e);0.53249;0.53249;0.53249;0.47713;0.54541
(b)>(c);0.53846;0.53846;0.53846;0.47012;0.54588
(b)>(d);0.53092;0.53092;0.53092;0.44956;0.52293
(b)>(e);0.53031;0.53031;0.53031;0.46494;0.54745
(c)>(d);0.53089;0.53089;0.53089;0.45871;0.51976
(c)>(e);0.53249;0.53249;0.53249;0.47713;0.54541
(d)>(e);0.52489;0.52489;0.52489;0.46068;0.52042
(a)>(b)>(c);0.53338;0.54087;0.53606;0.52685;0.53855
(a)>(b)>(d);0.52972;0.54400;0.54224;0.52140;0.52079
(a)>(b)>(e);0.52455;0.55266;0.55138;0.52390;0.54055
(a)>(c)>(d);0.53089;0.53674;0.53606;0.52923;0.51904
(a)>(c)>(e);0.52872;0.54110;0.53606;0.52527;0.54086
(a)>(d)>(e);0.52535;0.54283;0.54190;0.52192;0.52265
(b)>(c)>(d);0.52854;0.54554;0.54342;0.52254;0.51910
(b)>(c)>(e);0.52446;0.55231;0.55138;0.52289;0.54029
(b)>(d)>(e);0.52306;0.54535;0.54336;0.51825;0.52191
(c)>(d)>(e);0.52535;0.54283;0.54190;0.52192;0.52265
(a)>(b)>(c)>(d);0.52940;0.54086;0.53916;0.53339;0.54120
(a)>(b)>(c)>(e);0.52579;0.54576;0.54588;0.53752;0.54669
(a)>(b)>(d)>(e);0.52107;0.54807;0.54854;0.53496;0.54541
(a)>(c)>(d)>(e);0.52567;0.54015;0.53856;0.53033;0.54147
(b)>(c)>(d)>(e);0.51984;0.54854;0.54901;0.53202;0.54370
(a)>(b)>(c)>(d)>(e);0.54071;0.54932;0.54438;0.53668;0.53994
