network_order;v-1_a0;v0_a-1;v0_a0;v0_a1;v1_a0
(a);0.53955;0.53955;0.53955;0.00000;nan
(b);0.53870;0.53870;0.53870;0.00000;nan
(c);0.53955;0.53955;0.53955;0.00000;nan
(d);0.51231;0.51231;0.51231;0.00000;nan
(e);0.53252;0.53252;0.53252;0.00000;nan
(a)>(b);0.54155;0.54155;0.54155;0.53285;0.54878
(a)>(c);0.53955;0.53955;0.53955;0.53955;0.53955
(a)>(d);0.53425;0.53425;0.53425;0.51469;0.52336
(a)>(e);0.53578;0.53578;0.53578;0.53422;0.54913
(b)>(c);0.54178;0.54178;0.54178;0.53332;0.54962
(b)>(d);0.53422;0.53422;0.53422;0.51388;0.52656
(b)>(e);0.53353;0.53353;0.53353;0.52948;0.55119
(c)>(d);0.53425;0.53425;0.53425;0.51469;0.52336
(c)>(e);0.53578;0.53578;0.53578;0.53422;0.54913
(d)>(e);0.52818;0.52818;0.52818;0.51480;0.52399
(a)>(b)>(c);0.53665;0.54441;0.53955;0.53027;0.54223
(a)>(b)>(d);0.53292;0.54763;0.54585;0.52482;0.52444
(a)>(b)>(e);0.52766;0.55632;0.55502;0.52731;0.54430
(a)>(c)>(d);0.53425;0.54024;0.53955;0.53266;0.52263
(a)>(c)>(e);0.53197;0.54463;0.53955;0.52866;0.54454
(a)>(d)>(e);0.52854;0.54646;0.54552;0.52536;0.52629
(b)>(c)>(d);0.53172;0.54918;0.54704;0.52598;0.52274
(b)>(c)>(e);0.52756;0.55596;0.55502;0.52628;0.54404
(b)>(d)>(e);0.52619;0.54898;0.54698;0.52164;0.52555
(c)>(d)>(e);0.52854;0.54646;0.54552;0.52536;0.52629
(a)>(b)>(c)>(d);0.53260;0.54436;0.54264;0.53682;0.54484
(a)>(b)>(c)>(e);0.52891;0.54927;0.54939;0.54096;0.55036
(a)>(b)>(d)>(e);0.52412;0.55164;0.55211;0.53841;0.54913
(a)>(c)>(d)>(e);0.52886;0.54363;0.54204;0.53373;0.54514
(b)>(c)>(d)>(e);0.52288;0.55211;0.55258;0.53545;0.54740
(a)>(b)>(c)>(d)>(e);0.54414;0.55298;0.54800;0.54023;0.54363
