network_order;cityscapes;coco
(a);0.00000;0.33648
(b);0.00000;0.30218
(c);0.00000;0.30435
(d);0.00000;0.30351
(e);0.00000;0.30375
(a)>(b);0.00000;0.29867
(a)>(c);0.00000;0.30871
(a)>(d);0.00000;0.31534
(a)>(e);0.00000;0.33046
(b)>(c);0.00000;0.30412
(b)>(d);0.00000;0.29268
(b)>(e);0.00000;0.31054
(c)>(d);0.00000;0.30435
(c)>(e);0.00000;0.31522
(d)>(e);0.00000;0.29674
(a)>(b)>(c);0.00000;0.34843
(a)>(b)>(d);0.00000;0.34708
(a)>(b)>(e);0.00000;0.36519
(a)>(c)>(d);0.00000;0.34364
(a)>(c)>(e);0.00000;0.33793
(a)>(d)>(e);0.00000;0.33218
(b)>(c)>(d);0.00000;0.33452
(b)>(c)>(e);0.00000;0.34520
(b)>(d)>(e);0.00000;0.35816
(c)>(d)>(e);0.00000;0.33219
(a)>(b)>(c)>(d);0.00000;0.33866
(a)>(b)>(c)>(e);0.00000;0.35505
(a)>(b)>(d)>(e);0.00000;0.34754
(a)>(c)>(d)>(e);0.00000;0.33442
(b)>(c)>(d)>(e);0.00000;0.34333
(a)>(b)>(c)>(d)>(e);0.00000;0.35192
