network_order;cityscapes;coco
(a);0.00000;0.02073
(b);0.00000;0.01036
(c);0.00000;0.02128
(d);0.00000;0.02094
(e);0.00000;0.01053
(a)>(b);0.00000;0.02463
(a)>(c);0.00000;0.02525
(a)>(d);0.00000;0.02525
(a)>(e);0.00000;0.02010
(b)>(c);0.00000;0.02051
(b)>(d);0.00000;0.02030
(b)>(e);0.00000;0.02030
(c)>(d);0.00000;0.03125
(c)>(e);0.00000;0.01546
(d)>(e);0.00000;0.02051
(a)>(b)>(c);0.00000;0.00543
(a)>(b)>(d);0.00000;0.01622
(a)>(b)>(e);0.00000;0.01093
(a)>(c)>(d);0.00000;0.02174
(a)>(c)>(e);0.00000;0.01639
(a)>(d)>(e);0.00000;0.01630
(b)>(c)>(d);0.00000;0.00541
(b)>(c)>(e);0.00000;0.00543
(b)>(d)>(e);0.00000;0.01093
(c)>(d)>(e);0.00000;0.01075
(a)>(b)>(c)>(d);0.00000;0.01613
(a)>(b)>(c)>(e);0.00000;0.01075
(a)>(b)>(d)>(e);0.00000;0.01622
(a)>(c)>(d)>(e);0.00000;0.01622
(b)>(c)>(d)>(e);0.00000;0.01075
(a)>(b)>(c)>(d)>(e);0.00000;0.01630
