network_order;v-1_a0;v0_a-1;v0_a0;v0_a1;v1_a0
(a);0.12079;0.12079;0.12079;0.36678;nan
(b);0.13470;0.13470;0.13470;0.37442;nan
(c);0.12079;0.12079;0.12079;0.36678;nan
(d);0.10009;0.10009;0.10009;0.34639;nan
(e);0.13716;0.13716;0.13716;0.37452;nan
(a)>(b);0.16815;0.16815;0.16815;0.18838;0.07602
(a)>(c);0.12079;0.12079;0.12079;0.12079;0.12079
(a)>(d);0.14633;0.14633;0.14633;0.16832;0.06793
(a)>(e);0.16656;0.16656;0.16656;0.18129;0.08055
(b)>(c);0.16779;0.16779;0.16779;0.18838;0.07580
(b)>(d);0.16034;0.16034;0.16034;0.18265;0.06439
(b)>(e);0.17975;0.17975;0.17975;0.19731;0.07948
(c)>(d);0.14633;0.14633;0.14633;0.16832;0.06793
(c)>(e);0.16656;0.16656;0.16656;0.18129;0.08055
(d)>(e);0.15494;0.15494;0.15494;0.17199;0.07559
(a)>(b)>(c);0.17077;0.11803;0.12079;0.12605;0.07991
(a)>(b)>(d);0.18451;0.09989;0.10091;0.11306;0.05359
(a)>(b)>(e);0.20089;0.10804;0.10865;0.12431;0.06350
(a)>(c)>(d);0.14633;0.12039;0.12079;0.12469;0.06837
(a)>(c)>(e);0.16850;0.11803;0.12079;0.12722;0.08312
(a)>(d)>(e);0.18163;0.09803;0.09844;0.11026;0.06104
(b)>(c)>(d);0.18569;0.09886;0.10009;0.11226;0.05405
(b)>(c)>(e);0.20073;0.10824;0.10865;0.12489;0.06394
(b)>(d)>(e);0.19287;0.10255;0.10357;0.11803;0.05722
(c)>(d)>(e);0.18163;0.09803;0.09844;0.11026;0.06104
(a)>(b)>(c)>(d);0.18468;0.12780;0.12876;0.13203;0.09116
(a)>(b)>(c)>(e);0.20024;0.13164;0.13145;0.13602;0.09430
(a)>(b)>(d)>(e);0.20987;0.12157;0.12118;0.12876;0.08055
(a)>(c)>(d)>(e);0.18146;0.12895;0.12972;0.13451;0.08758
(b)>(c)>(d)>(e);0.21082;0.12118;0.12079;0.13030;0.08227
(a)>(b)>(c)>(d)>(e);0.14279;0.10091;0.10378;0.10824;0.07754
