network_order;cityscapes;coco
(a);0.12157;0.10841
(b);0.13556;0.10679
(c);0.12157;0.11809
(d);0.10076;0.11468
(e);0.13804;0.10872
(a)>(b);0.16918;0.14314
(a)>(c);0.12157;0.15116
(a)>(d);0.14725;0.14577
(a)>(e);0.16759;0.14563
(b)>(c);0.16883;0.15486
(b)>(d);0.16134;0.14978
(b)>(e);0.18085;0.14589
(c)>(d);0.14725;0.15753
(c)>(e);0.16759;0.15595
(d)>(e);0.15591;0.14568
(a)>(b)>(c);0.12157;0.09466
(a)>(b)>(d);0.10159;0.09696
(a)>(b)>(e);0.10936;0.09120
(a)>(c)>(d);0.12157;0.09499
(a)>(c)>(e);0.12157;0.09363
(a)>(d)>(e);0.09910;0.09819
(b)>(c)>(d);0.10076;0.09367
(b)>(c)>(e);0.10936;0.09050
(b)>(d)>(e);0.10426;0.09441
(c)>(d)>(e);0.09910;0.09711
(a)>(b)>(c)>(d);0.12959;0.11345
(a)>(b)>(c)>(e);0.13230;0.11109
(a)>(b)>(d)>(e);0.12197;0.11296
(a)>(c)>(d)>(e);0.13056;0.11342
(b)>(c)>(d)>(e);0.12157;0.11534
(a)>(b)>(c)>(d)>(e);0.10447;0.08998
