network_order;cityscapes;coco
(a);0.00000;0.26730
(b);0.00000;0.30218
(c);0.00000;0.28882
(d);0.00000;0.27476
(e);0.00000;0.25939
(a)>(b);0.00000;0.37867
(a)>(c);0.00000;0.36412
(a)>(d);0.00000;0.33239
(a)>(e);0.00000;0.33046
(b)>(c);0.00000;0.38144
(b)>(d);0.00000;0.37127
(b)>(e);0.00000;0.34473
(c)>(d);0.00000;0.35326
(c)>(e);0.00000;0.35326
(d)>(e);0.00000;0.32344
(a)>(b)>(c);0.00000;0.20209
(a)>(b)>(d);0.00000;0.21306
(a)>(b)>(e);0.00000;0.20478
(a)>(c)>(d);0.00000;0.20962
(a)>(c)>(e);0.00000;0.21379
(a)>(d)>(e);0.00000;0.21453
(b)>(c)>(d);0.00000;0.19929
(b)>(c)>(e);0.00000;0.19929
(b)>(d)>(e);0.00000;0.18794
(c)>(d)>(e);0.00000;0.21575
(a)>(b)>(c)>(d);0.00000;0.24920
(a)>(b)>(c)>(e);0.00000;0.23453
(a)>(b)>(d)>(e);0.00000;0.24262
(a)>(c)>(d)>(e);0.00000;0.25000
(b)>(c)>(d)>(e);0.00000;0.24000
(a)>(b)>(c)>(d)>(e);0.00000;0.19861
