network_order;cityscapes;coco
(a);0.42329;0.43664
(b);0.42606;0.43822
(c);0.42329;0.43758
(d);0.42131;0.43439
(e);0.41995;0.43483
(a)>(b);0.41764;0.43164
(a)>(c);0.42329;0.43131
(a)>(d);0.41390;0.42942
(a)>(e);0.41340;0.42890
(b)>(c);0.41749;0.43119
(b)>(d);0.41581;0.42932
(b)>(e);0.41410;0.42958
(c)>(d);0.41390;0.42916
(c)>(e);0.41340;0.42909
(d)>(e);0.41365;0.42861
(a)>(b)>(c);0.42289;0.43718
(a)>(b)>(d);0.42400;0.43615
(a)>(b)>(e);0.42296;0.43624
(a)>(c)>(d);0.42297;0.43579
(a)>(c)>(e);0.42291;0.43611
(a)>(d)>(e);0.42090;0.43478
(b)>(c)>(d);0.42415;0.43664
(b)>(c)>(e);0.42291;0.43660
(b)>(d)>(e);0.42224;0.43553
(c)>(d)>(e);0.42090;0.43461
(a)>(b)>(c)>(d);0.42011;0.43372
(a)>(b)>(c)>(e);0.41960;0.43401
(a)>(b)>(d)>(e);0.41867;0.43267
(a)>(c)>(d)>(e);0.41774;0.43269
(b)>(c)>(d)>(e);0.41886;0.43284
(a)>(b)>(c)>(d)>(e);0.42275;0.43645
