network_order;cityscapes;coco
(a);0.34316;0.18700
(b);0.33004;0.19355
(c);0.34316;0.19088
(d);0.39100;0.19468
(e);0.33370;0.19822
(a)>(b);0.29362;0.15476
(a)>(c);0.34316;0.15177
(a)>(d);0.32278;0.16208
(a)>(e);0.30095;0.15891
(b)>(c);0.29374;0.14830
(b)>(d);0.30874;0.15709
(b)>(e);0.28994;0.15859
(c)>(d);0.32278;0.15417
(c)>(e);0.30095;0.15294
(d)>(e);0.32017;0.16696
(a)>(b)>(c);0.34316;0.18829
(a)>(b)>(d);0.35685;0.19080
(a)>(b)>(e);0.33997;0.19099
(a)>(c)>(d);0.34316;0.19004
(a)>(c)>(e);0.34316;0.19149
(a)>(d)>(e);0.35966;0.19272
(b)>(c)>(d);0.35649;0.19202
(b)>(c)>(e);0.33997;0.19363
(b)>(d)>(e);0.35306;0.19329
(c)>(d)>(e);0.35966;0.19532
(a)>(b)>(c)>(d);0.33208;0.17158
(a)>(b)>(c)>(e);0.32267;0.17029
(a)>(b)>(d)>(e);0.33028;0.17346
(a)>(c)>(d)>(e);0.33171;0.17441
(b)>(c)>(d)>(e);0.33021;0.17226
(a)>(b)>(c)>(d)>(e);0.35184;0.19221
