network_order;cityscapes;coco
(a);0.43243;0.46151
(b);0.43067;0.46072
(c);0.43243;0.45818
(d);0.43430;0.45934
(e);0.43146;0.45828
(a)>(b);0.44028;0.46499
(a)>(c);0.43243;0.46380
(a)>(d);0.44200;0.46498
(a)>(e);0.44112;0.46501
(b)>(c);0.44035;0.46380
(b)>(d);0.44080;0.46513
(b)>(e);0.44129;0.46446
(c)>(d);0.44200;0.46358
(c)>(e);0.44112;0.46339
(d)>(e);0.43903;0.46301
(a)>(b)>(c);0.43270;0.46262
(a)>(b)>(d);0.43470;0.46362
(a)>(b)>(e);0.43444;0.46301
(a)>(c)>(d);0.43266;0.46246
(a)>(c)>(e);0.43272;0.46184
(a)>(d)>(e);0.43506;0.46208
(b)>(c)>(d);0.43459;0.46238
(b)>(c)>(e);0.43451;0.46197
(b)>(d)>(e);0.43403;0.46161
(c)>(d)>(e);0.43506;0.46165
(a)>(b)>(c)>(d);0.43762;0.46445
(a)>(b)>(c)>(e);0.43731;0.46400
(a)>(b)>(d)>(e);0.43871;0.46462
(a)>(c)>(d)>(e);0.43890;0.46369
(b)>(c)>(d)>(e);0.43840;0.46386
(a)>(b)>(c)>(d)>(e);0.43502;0.46297
