network_order;cityscapes;coco
(a);0.43243;0.46114
(b);0.43067;0.46032
(c);0.43243;0.45775
(d);0.43430;0.45909
(e);0.43146;0.45802
(a)>(b);0.44028;0.46453
(a)>(c);0.43243;0.46331
(a)>(d);0.44200;0.46458
(a)>(e);0.44112;0.46464
(b)>(c);0.44035;0.46333
(b)>(d);0.44080;0.46481
(b)>(e);0.44129;0.46414
(c)>(d);0.44200;0.46319
(c)>(e);0.44112;0.46300
(d)>(e);0.43903;0.46272
(a)>(b)>(c);0.43270;0.46230
(a)>(b)>(d);0.43470;0.46320
(a)>(b)>(e);0.43444;0.46260
(a)>(c)>(d);0.43266;0.46205
(a)>(c)>(e);0.43272;0.46143
(a)>(d)>(e);0.43506;0.46177
(b)>(c)>(d);0.43459;0.46200
(b)>(c)>(e);0.43451;0.46154
(b)>(d)>(e);0.43403;0.46132
(c)>(d)>(e);0.43506;0.46131
(a)>(b)>(c)>(d);0.43762;0.46406
(a)>(b)>(c)>(e);0.43731;0.46359
(a)>(b)>(d)>(e);0.43871;0.46427
(a)>(c)>(d)>(e);0.43890;0.46333
(b)>(c)>(d)>(e);0.43840;0.46354
(a)>(b)>(c)>(d)>(e);0.43502;0.46260
