network_order;cityscapes;coco
(a);nan;0.49306
(b);nan;0.56771
(c);nan;0.52288
(d);nan;0.47361
(e);nan;0.48750
(a)>(b);nan;0.54375
(a)>(c);nan;0.53519
(a)>(d);nan;0.51111
(a)>(e);nan;0.49306
(b)>(c);nan;0.55978
(b)>(d);nan;0.52135
(b)>(e);nan;0.52760
(c)>(d);nan;0.51219
(c)>(e);nan;0.55957
(d)>(e);nan;0.47986
(a)>(b)>(c);nan;0.45000
(a)>(b)>(d);nan;0.46296
(a)>(b)>(e);nan;0.50000
(a)>(c)>(d);nan;0.46918
(a)>(c)>(e);nan;0.50427
(a)>(d)>(e);nan;0.45463
(b)>(c)>(d);nan;0.42500
(b)>(c)>(e);nan;0.45000
(b)>(d)>(e);nan;0.48750
(c)>(d)>(e);nan;0.47500
(a)>(b)>(c)>(d);nan;0.45463
(a)>(b)>(c)>(e);nan;0.50000
(a)>(b)>(d)>(e);nan;0.45463
(a)>(c)>(d)>(e);nan;0.45463
(b)>(c)>(d)>(e);nan;0.47500
(a)>(b)>(c)>(d)>(e);nan;0.45463
