network_order;v-1_a0;v0_a-1;v0_a0;v0_a1;v1_a0
(a);0.85339;0.85339;0.85339;inf;nan
(b);0.85632;0.85632;0.85632;inf;nan
(c);0.85339;0.85339;0.85339;inf;nan
(d);0.95195;0.95195;0.95195;inf;nan
(e);0.87785;0.87785;0.87785;inf;nan
(a)>(b);0.84655;0.84655;0.84655;0.87670;0.82221
(a)>(c);0.85339;0.85339;0.85339;0.85339;0.85339
(a)>(d);0.87178;0.87178;0.87178;0.94291;0.91075
(a)>(e);0.86645;0.86645;0.86645;0.87190;0.82106
(b)>(c);0.84576;0.84576;0.84576;0.87505;0.81943
(b)>(d);0.87189;0.87189;0.87189;0.94598;0.89914
(b)>(e);0.87431;0.87431;0.87431;0.88865;0.81426
(c)>(d);0.87178;0.87178;0.87178;0.94291;0.91075
(c)>(e);0.86645;0.86645;0.86645;0.87190;0.82106
(d)>(e);0.89330;0.89330;0.89330;0.94249;0.90843
(a)>(b)>(c);0.86340;0.83685;0.85339;0.88585;0.84425
(a)>(b)>(d);0.87647;0.82605;0.83200;0.90540;0.90678
(a)>(b)>(e);0.89516;0.79754;0.80172;0.89643;0.83722
(a)>(c)>(d);0.87178;0.85102;0.85339;0.87736;0.91340
(a)>(c)>(e);0.87979;0.83609;0.85339;0.89156;0.83642
(a)>(d)>(e);0.89201;0.82996;0.83312;0.90346;0.90009
(b)>(c)>(d);0.88067;0.82089;0.82801;0.90121;0.91300
(b)>(c)>(e);0.89551;0.79869;0.80172;0.90013;0.83810
(b)>(d)>(e);0.90047;0.82156;0.82824;0.91703;0.90275
(c)>(d)>(e);0.89201;0.82996;0.83312;0.90346;0.90009
(a)>(b)>(c)>(d);0.87759;0.83702;0.84284;0.86281;0.83539
(a)>(b)>(c)>(e);0.89069;0.82061;0.82020;0.84857;0.81700
(a)>(b)>(d)>(e);0.90797;0.81278;0.81123;0.85732;0.82106
(a)>(c)>(d)>(e);0.89087;0.83948;0.84489;0.87360;0.83440
(b)>(c)>(d)>(e);0.91249;0.81123;0.80968;0.86758;0.82683
(a)>(b)>(c)>(d)>(e);0.83776;0.80840;0.82483;0.85105;0.83948
