network_order;cityscapes;coco
(a);inf;1.97196
(b);inf;2.30928
(c);inf;2.28571
(d);inf;2.29474
(e);inf;2.29213
(a)>(b);inf;2.34821
(a)>(c);inf;2.23932
(a)>(d);inf;2.17117
(a)>(e);inf;2.02609
(b)>(c);inf;2.28814
(b)>(d);inf;2.41667
(b)>(e);inf;2.22018
(c)>(d);inf;2.28571
(c)>(e);inf;2.17241
(d)>(e);inf;2.37000
(a)>(b)>(c);inf;1.87000
(a)>(b)>(d);inf;1.88119
(a)>(b)>(e);inf;1.73832
(a)>(c)>(d);inf;1.91000
(a)>(c)>(e);inf;1.95918
(a)>(d)>(e);inf;2.01042
(b)>(c)>(d);inf;1.98936
(b)>(c)>(e);inf;1.89691
(b)>(d)>(e);inf;1.79208
(c)>(d)>(e);inf;2.01031
(a)>(b)>(c)>(d);inf;1.95283
(a)>(b)>(c)>(e);inf;1.81651
(a)>(b)>(d)>(e);inf;1.87736
(a)>(c)>(d)>(e);inf;1.99029
(b)>(c)>(d)>(e);inf;1.91262
(a)>(b)>(c)>(d)>(e);inf;1.84158
