network_order;cityscapes;coco
(a);1.30404;0.68429
(b);1.35961;0.69151
(c);1.30404;0.74346
(d);1.34531;0.73458
(e);1.39627;0.71178
(a)>(b);1.47135;0.78814
(a)>(c);1.30404;0.82274
(a)>(d);1.42303;0.82024
(a)>(e);1.49205;0.81155
(b)>(c);1.46900;0.83430
(b)>(d);1.47590;0.82923
(b)>(e);1.55224;0.81241
(c)>(d);1.42303;0.86355
(c)>(e);1.49205;0.85175
(d)>(e);1.48365;0.83127
(a)>(b)>(c);1.30404;0.61547
(a)>(b)>(d);1.20421;0.63310
(a)>(b)>(e);1.19581;0.60543
(a)>(c)>(d);1.30404;0.62146
(a)>(c)>(e);1.30404;0.61775
(a)>(d)>(e);1.19645;0.64329
(b)>(c)>(d);1.19638;0.61858
(b)>(c)>(e);1.19581;0.60685
(b)>(d)>(e);1.20947;0.62609
(c)>(d)>(e);1.19645;0.64373
(a)>(b)>(c)>(d);1.32048;0.67191
(a)>(b)>(c)>(e);1.30182;0.65721
(a)>(b)>(d)>(e);1.25305;0.67438
(a)>(c)>(d)>(e);1.32663;0.67833
(b)>(c)>(d)>(e);1.24969;0.68351
(a)>(b)>(c)>(d)>(e);1.20610;0.60145
