network_order;cityscapes;coco
(a);2.14577;0.95957
(b);2.10140;0.99526
(c);2.14577;1.00877
(d);2.50157;1.02060
(e);2.15114;1.02269
(a)>(b);1.94898;0.88215
(a)>(c);2.14577;0.88436
(a)>(d);2.09963;0.92490
(a)>(e);2.00835;0.90597
(b)>(c);1.94819;0.87614
(b)>(d);2.04659;0.91098
(b)>(e);1.97918;0.90656
(c)>(d);2.09963;0.91245
(c)>(e);2.00835;0.90163
(d)>(e);2.12510;0.95082
(a)>(b)>(c);2.14577;0.92370
(a)>(b)>(d);2.16042;0.94409
(a)>(b)>(e);2.04680;0.92971
(a)>(c)>(d);2.14577;0.93455
(a)>(c)>(e);2.14577;0.93903
(a)>(d)>(e);2.17279;0.95809
(b)>(c)>(d);2.15223;0.94158
(b)>(c)>(e);2.04680;0.94174
(b)>(d)>(e);2.13992;0.94961
(c)>(d)>(e);2.17279;0.97038
(a)>(b)>(c)>(d);2.08658;0.88453
(a)>(b)>(c)>(e);2.01414;0.87046
(a)>(b)>(d)>(e);2.02726;0.89267
(a)>(c)>(d)>(e);2.08863;0.89945
(b)>(c)>(d)>(e);2.02440;0.89232
(a)>(b)>(c)>(d)>(e);2.12960;0.93268
