network_order;v-1_a0;v0_a-1;v0_a0;v0_a1;v1_a0
(a);inf;inf;inf;inf;nan
(b);inf;inf;inf;inf;nan
(c);inf;inf;inf;inf;nan
(d);inf;inf;inf;inf;nan
(e);inf;inf;inf;inf;nan
(a)>(b);inf;inf;inf;inf;inf
(a)>(c);inf;inf;inf;inf;inf
(a)>(d);inf;inf;inf;inf;inf
(a)>(e);inf;inf;inf;inf;inf
(b)>(c);inf;inf;inf;inf;inf
(b)>(d);inf;inf;inf;inf;inf
(b)>(e);inf;inf;inf;inf;inf
(c)>(d);inf;inf;inf;inf;inf
(c)>(e);inf;inf;inf;inf;inf
(d)>(e);inf;inf;inf;inf;inf
(a)>(b)>(c);inf;inf;inf;inf;inf
(a)>(b)>(d);inf;inf;inf;inf;inf
(a)>(b)>(e);inf;inf;inf;inf;inf
(a)>(c)>(d);inf;inf;inf;inf;inf
(a)>(c)>(e);inf;inf;inf;inf;inf
(a)>(d)>(e);inf;inf;inf;inf;inf
(b)>(c)>(d);inf;inf;inf;inf;inf
(b)>(c)>(e);inf;inf;inf;inf;inf
(b)>(d)>(e);inf;inf;inf;inf;inf
(c)>(d)>(e);inf;inf;inf;inf;inf
(a)>(b)>(c)>(d);inf;inf;inf;inf;inf
(a)>(b)>(c)>(e);inf;inf;inf;inf;inf
(a)>(b)>(d)>(e);inf;inf;inf;inf;inf
(a)>(c)>(d)>(e);inf;inf;inf;inf;inf
(b)>(c)>(d)>(e);inf;inf;inf;inf;inf
(a)>(b)>(c)>(d)>(e);inf;inf;inf;inf;inf
