mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_X-101-64x4d-FPN;hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);scnet_X-101-64x4d-FPN;bbox_ap;mask_ap;tp;tp%;tp_s;tp_s%;tp_m;tp_m%;tp_l;tp_l%;tp_2;tp_2%;tp_2_s;tp_2_s%;tp_2_m;tp_2_m%;tp_2_l;tp_2_l%;fp;fp%;fp_s;fp_s%;fp_m;fp_m%;fp_l;fp_l%;fp_2;fp_2%;fp_2_s;fp_2_s%;fp_2_m;fp_2_m%;fp_2_l;fp_2_l%;tn;tn%;tn_s;tn_s%;tn_m;tn_m%;tn_l;tn_l%;tn_2;tn_2%;tn_2_s;tn_2_s%;tn_2_m;tn_2_m%;tn_2_l;tn_2_l%;fn;fn%;fn_s;fn_s%;fn_m;fn_m%;fn_l;fn_l%;fn_2;fn_2%;fn_2_s;fn_2_s%;fn_2_m;fn_2_m%;fn_2_l;fn_2_l%;cg;cg%;cg_s;cg_s%;cg_m;cg_m%;cg_l;cg_l%;c_cg;c_cg%;c_cg_s;c_cg_s%;c_cg_m;c_cg_m%;c_cg_l;c_cg_l%;ig;ig%;ig_s;ig_s%;ig_m;ig_m%;ig_l;ig_l%;c_ig;c_ig%;c_ig_s;c_ig_s%;c_ig_m;c_ig_m%;c_ig_l;c_ig_l%;ng;ng%;ng_s;ng_s%;ng_m;ng_m%;ng_l;ng_l%;c_ng;c_ng%;c_ng_s;c_ng_s%;c_ng_m;c_ng_m%;c_ng_l;c_ng_l%
1;0;0;0;0;0.561;0.047;112321171;0.50907;732;0.63708;10577;0.59047;112309862;0.50907;112328389;0.47658;28;0.70000;4277;0.59304;112316866;0.50907;93304345;0.42288;358;0.31158;5469;0.30531;93298518;0.42289;107765036;0.45722;7;0.17500;2220;0.30782;93302118;0.42289;12094631;0.05482;39;0.03394;1303;0.07274;12093289;0.05482;12685080;0.05382;5;0.12500;492;0.06822;12094134;0.05482;2918225;0.01323;20;0.01741;564;0.03149;2917641;0.01322;2918561;0.01238;0;0.00000;223;0.03092;2918002;0.01323;9923;0.28592;34;0.17172;250;0.19084;9639;0.29036;5320;0.25686;25;0.18248;190;0.23313;5105;0.25835;23701;0.68293;12;0.06061;927;0.70763;22762;0.68566;14745;0.71191;5;0.03650;533;0.65399;14207;0.71898;1081;0.03115;152;0.76768;133;0.10153;796;0.02398;647;0.03124;107;0.78102;92;0.11288;448;0.02267
0;1;0;0;0;0.584;0.052;112040485;0.51176;1047;0.62173;10676;0.58085;112028762;0.51175;112047230;0.48069;48;0.75000;5642;0.58661;112034795;0.51176;94076035;0.42971;494;0.29335;5387;0.29309;94070154;0.42972;107705052;0.46206;11;0.17188;2802;0.29133;94073222;0.42971;10517688;0.04804;101;0.05998;1603;0.08721;10515984;0.04804;11046871;0.04739;5;0.07812;839;0.08723;10516844;0.04804;2297448;0.01049;42;0.02494;714;0.03885;2296692;0.01049;2297679;0.00986;0;0.00000;335;0.03483;2297113;0.01049;9906;0.29892;53;0.23982;254;0.15602;9599;0.30678;5336;0.26502;33;0.21854;198;0.19940;5105;0.26883;22135;0.66794;35;0.15837;1245;0.76474;20855;0.66651;14167;0.70364;19;0.12583;711;0.71601;13437;0.70758;1098;0.03313;133;0.60181;129;0.07924;836;0.02672;631;0.03134;99;0.65563;84;0.08459;448;0.02359
0;0;1;0;0;0.603;0.053;115220187;0.51191;1358;0.61868;13156;0.58411;115205673;0.51190;115227349;0.48508;86;0.73504;6222;0.58401;115213879;0.51191;97784991;0.43445;717;0.32665;6715;0.29814;97777559;0.43446;109764499;0.46208;18;0.15385;3248;0.30486;97781725;0.43445;10038599;0.04460;75;0.03417;1866;0.08285;10036658;0.04460;10515703;0.04427;9;0.07692;854;0.08016;10037736;0.04460;2034690;0.00904;45;0.02050;786;0.03490;2033859;0.00904;2034863;0.00857;4;0.03419;330;0.03097;2034356;0.00904;10429;0.14213;73;0.23248;313;0.06956;10043;0.14648;5509;0.19070;46;0.30872;228;0.15702;5235;0.19185;62370;0.85003;128;0.40764;4117;0.91489;58125;0.84780;22921;0.79344;17;0.11409;1170;0.80579;21734;0.79650;575;0.00784;113;0.35987;70;0.01556;392;0.00572;458;0.01585;86;0.57718;54;0.03719;318;0.01165
0;0;0;1;0;0.580;0.053;112185752;0.51207;1015;0.60597;10904;0.58028;112173833;0.51207;112193167;0.48214;28;0.70000;5018;0.58099;112180706;0.51207;94077024;0.42942;526;0.31403;5329;0.28359;94071169;0.42943;107183328;0.46061;7;0.17500;2501;0.28957;94074516;0.42942;10604748;0.04841;97;0.05791;1743;0.09276;10602908;0.04840;11108446;0.04774;5;0.12500;820;0.09494;10603923;0.04840;2213699;0.01010;37;0.02209;815;0.04337;2212847;0.01010;2213873;0.00951;0;0.00000;298;0.03450;2213401;0.01010;9881;0.30545;52;0.22807;261;0.16959;9568;0.31286;5327;0.27513;36;0.25714;200;0.21322;5091;0.27844;21345;0.65983;42;0.18421;1156;0.75114;20147;0.65879;13395;0.69182;8;0.05714;656;0.69936;12731;0.69629;1123;0.03472;134;0.58772;122;0.07927;867;0.02835;640;0.03305;96;0.68571;82;0.08742;462;0.02527
0;0;0;0;1;0.582;0.052;115174318;0.50972;1205;0.60522;12366;0.58388;115160747;0.50971;115181200;0.48007;38;0.67857;5694;0.58908;115168586;0.50971;97018088;0.42936;655;0.32898;6437;0.30393;97010996;0.42938;110464358;0.46042;13;0.23214;2796;0.28926;97015279;0.42937;11374902;0.05034;98;0.04922;1596;0.07536;11373208;0.05034;11887561;0.04955;5;0.08929;826;0.08545;11374071;0.05034;2390089;0.01058;33;0.01657;780;0.03683;2389276;0.01058;2390228;0.00996;0;0.00000;350;0.03621;2389739;0.01058;10345;0.15060;63;0.20323;294;0.08286;9988;0.15406;5451;0.19328;40;0.24845;216;0.15573;5195;0.19491;57686;0.83980;124;0.40000;3165;0.89205;54397;0.83905;22235;0.78842;29;0.18012;1105;0.79668;21101;0.79166;659;0.00959;123;0.39677;89;0.02508;447;0.00689;516;0.01830;92;0.57143;66;0.04758;358;0.01343
1;2;0;0;0;0.587;0.051;113094051;0.51016;1128;0.62597;11485;0.58448;113081438;0.51015;113101404;0.48004;48;0.75000;5254;0.59074;113088749;0.51016;95013654;0.42860;563;0.31243;5958;0.30321;95007133;0.42861;108429817;0.46021;11;0.17188;2687;0.30211;95010956;0.42861;11030777;0.04976;77;0.04273;1522;0.07746;11029178;0.04976;11533023;0.04895;5;0.07812;681;0.07657;11030091;0.04976;2544933;0.01148;34;0.01887;685;0.03486;2544214;0.01148;2545202;0.01080;0;0.00000;272;0.03058;2544661;0.01148;10102;0.25918;56;0.25926;275;0.15160;9771;0.26446;5422;0.23475;36;0.24658;211;0.20095;5175;0.23629;27973;0.71768;30;0.13889;1431;0.78886;26512;0.71757;17130;0.74165;14;0.09589;768;0.73143;16348;0.74645;902;0.02314;130;0.60185;108;0.05954;664;0.01797;545;0.02360;96;0.65753;71;0.06762;378;0.01726
1;0;2;0;0;0.602;0.053;115040812;0.51048;1477;0.63012;13598;0.58820;115025737;0.51047;115047937;0.48323;66;0.74157;6321;0.59352;115034425;0.51047;97270167;0.43162;759;0.32381;7027;0.30396;97262381;0.43164;109502884;0.45994;13;0.14607;3300;0.30986;97266854;0.43163;10687784;0.04743;75;0.03200;1754;0.07587;10685955;0.04742;11168431;0.04691;9;0.10112;724;0.06798;10687051;0.04742;2360396;0.01047;33;0.01408;739;0.03197;2359624;0.01047;2360648;0.00992;1;0.01124;305;0.02864;2360090;0.01047;10477;0.13640;77;0.24444;323;0.06961;10077;0.14024;5543;0.17776;48;0.31579;238;0.15586;5257;0.17818;65807;0.85674;129;0.40952;4257;0.91746;61421;0.85478;25216;0.80865;20;0.13158;1245;0.81532;23951;0.81179;527;0.00686;109;0.34603;60;0.01293;358;0.00498;424;0.01360;84;0.55263;44;0.02881;296;0.01003
1;0;0;2;0;0.590;0.052;113507087;0.51134;1249;0.63337;11990;0.58363;113493848;0.51133;113514390;0.48197;46;0.71875;5525;0.58770;113501516;0.51134;95288114;0.42927;615;0.31187;6172;0.30043;95281327;0.42928;108321121;0.45992;10;0.15625;2826;0.30061;95285278;0.42927;10825149;0.04877;88;0.04462;1601;0.07793;10823460;0.04876;11329313;0.04810;7;0.10938;744;0.07914;10824398;0.04877;2358520;0.01062;20;0.01014;781;0.03802;2357719;0.01062;2358743;0.01001;1;0.01562;306;0.03255;2358213;0.01062;10163;0.25429;62;0.27434;287;0.15129;9814;0.25933;5449;0.23200;42;0.29787;217;0.19781;5190;0.23327;28962;0.72467;40;0.17699;1514;0.79810;27408;0.72426;17520;0.74594;9;0.06383;815;0.74294;16696;0.75042;841;0.02104;124;0.54867;96;0.05061;621;0.01641;518;0.02205;90;0.63830;65;0.05925;363;0.01632
1;0;0;0;2;0.589;0.052;114973311;0.50861;1318;0.61994;13025;0.58629;114958968;0.50860;114980793;0.48014;47;0.73438;5949;0.59283;114967315;0.50861;96826778;0.42834;682;0.32079;6786;0.30546;96819310;0.42835;109744419;0.45828;12;0.18750;2984;0.29736;96823782;0.42834;11644579;0.05151;99;0.04657;1645;0.07405;11642835;0.05151;12138168;0.05069;5;0.07812;768;0.07653;11643806;0.05151;2608737;0.01154;27;0.01270;760;0.03421;2607950;0.01154;2609008;0.01089;0;0.00000;334;0.03328;2608403;0.01154;10418;0.14478;67;0.21824;311;0.08444;10040;0.14772;5509;0.18075;43;0.26708;231;0.15714;5235;0.18147;60952;0.84707;121;0.39414;3300;0.89601;57531;0.84647;24512;0.80423;29;0.18012;1188;0.80816;23295;0.80751;586;0.00814;119;0.38762;72;0.01955;395;0.00581;458;0.01503;89;0.55280;51;0.03469;318;0.01102
0;1;2;0;0;0.608;0.054;115292636;0.51104;1474;0.62511;13490;0.58307;115277672;0.51104;115300267;0.48407;83;0.73451;6558;0.58402;115285995;0.51104;98007276;0.43443;736;0.31213;6888;0.29772;97999652;0.43444;110127323;0.46236;17;0.15044;3349;0.29825;98003910;0.43443;10156764;0.04502;103;0.04368;1913;0.08268;10154748;0.04502;10614037;0.04456;9;0.07965;929;0.08273;10155826;0.04502;2145281;0.00951;45;0.01908;845;0.03652;2144391;0.00951;2145447;0.00901;4;0.03540;393;0.03500;2144884;0.00951;10474;0.13765;77;0.23988;323;0.06750;10074;0.14192;5541;0.17969;47;0.30128;238;0.14664;5256;0.18088;65085;0.85538;135;0.42056;4402;0.91996;60548;0.85299;24870;0.80650;24;0.15385;1341;0.82625;23505;0.80890;530;0.00697;109;0.33956;60;0.01254;361;0.00509;426;0.01381;85;0.54487;44;0.02711;297;0.01022
